Municipio,Indicador11,Año,Sexo,Grupo_Etareo,Valor
Abejorral,Porcentaje de personas atendidas por demencia,2009,Femenino,TOTAL,0.07
Abejorral,Porcentaje de personas atendidas por demencia,2010,Femenino,TOTAL,0.07
Abejorral,Porcentaje de personas atendidas por demencia,2011,Femenino,TOTAL,0.06
Abejorral,Porcentaje de personas atendidas por demencia,2012,Femenino,TOTAL,0.09
Abejorral,Porcentaje de personas atendidas por demencia,2013,Femenino,TOTAL,0.04
Abejorral,Porcentaje de personas atendidas por demencia,2014,Femenino,TOTAL,0.07
Abejorral,Porcentaje de personas atendidas por demencia,2015,Femenino,TOTAL,0.15
Abejorral,Porcentaje de personas atendidas por demencia,2016,Femenino,TOTAL,0.02
Abejorral,Porcentaje de personas atendidas por demencia,2017,Femenino,TOTAL,0.17
Abejorral,Porcentaje de personas atendidas por demencia,2018,Femenino,TOTAL,0.1
Abejorral,Porcentaje de personas atendidas por demencia,2019,Femenino,TOTAL,0.23
Abejorral,Porcentaje de personas atendidas por demencia,2020,Femenino,TOTAL,0.16
Abejorral,Porcentaje de personas atendidas por demencia,2021,Femenino,TOTAL,0.14
Abejorral,Porcentaje de personas atendidas por demencia,2022,Femenino,TOTAL,0.31
Abejorral,Porcentaje de personas atendidas por demencia,2023,Femenino,TOTAL,0.22
Abejorral,Porcentaje de personas atendidas por demencia,2024,Femenino,TOTAL,0.14
Abejorral,Porcentaje de personas atendidas por demencia,2009,Masculino,TOTAL,0.05
Abejorral,Porcentaje de personas atendidas por demencia,2010,Masculino,TOTAL,0.05
Abejorral,Porcentaje de personas atendidas por demencia,2011,Masculino,TOTAL,0.02
Abejorral,Porcentaje de personas atendidas por demencia,2012,Masculino,TOTAL,0.06
Abejorral,Porcentaje de personas atendidas por demencia,2013,Masculino,TOTAL,0.14
Abejorral,Porcentaje de personas atendidas por demencia,2014,Masculino,TOTAL,0.1
Abejorral,Porcentaje de personas atendidas por demencia,2015,Masculino,TOTAL,0.13
Abejorral,Porcentaje de personas atendidas por demencia,2016,Masculino,TOTAL,0.11
Abejorral,Porcentaje de personas atendidas por demencia,2017,Masculino,TOTAL,0.04
Abejorral,Porcentaje de personas atendidas por demencia,2018,Masculino,TOTAL,0.07
Abejorral,Porcentaje de personas atendidas por demencia,2019,Masculino,TOTAL,0.1
Abejorral,Porcentaje de personas atendidas por demencia,2020,Masculino,TOTAL,0.16
Abejorral,Porcentaje de personas atendidas por demencia,2021,Masculino,TOTAL,0.28
Abejorral,Porcentaje de personas atendidas por demencia,2022,Masculino,TOTAL,0.49
Abejorral,Porcentaje de personas atendidas por demencia,2023,Masculino,TOTAL,0.29
Abejorral,Porcentaje de personas atendidas por demencia,2024,Masculino,TOTAL,0.22
Abejorral,Porcentaje de personas atendidas por demencia,2009,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2010,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2011,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2012,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2013,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2014,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2015,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2016,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2017,Total,De 0 a 04 años,0.13
Abejorral,Porcentaje de personas atendidas por demencia,2018,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2019,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2020,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2021,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2022,Total,De 0 a 04 años,NA
Abejorral,Porcentaje de personas atendidas por demencia,2023,Total,De 0 a 04 años,0.09
Abejorral,Porcentaje de personas atendidas por demencia,2024,Total,De 0 a 04 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2009,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2010,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2011,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2012,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2013,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2014,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2015,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2016,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2017,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2018,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2019,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2020,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2021,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2022,Total,De 05 a 09 años,NA
Abejorral,Porcentaje de personas atendidas por demencia,2023,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2024,Total,De 05 a 09 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2009,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2010,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2011,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2012,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2013,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2014,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2015,Total,De 10 a 14 años,0.08
Abejorral,Porcentaje de personas atendidas por demencia,2016,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2017,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2018,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2019,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2020,Total,De 10 a 14 años,0
Abejorral,Porcentaje de personas atendidas por demencia,2021,Total,De 10 a 14 años,0
