Indicador11,Municipio,Sexo,Grupo_Etareo,Año,Valor1
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2009,1.59
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2010,5.71
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2011,4.9
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2012,12.03
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2013,10.74
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2014,19.7
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2015,36.25
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2016,53.97
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2017,35.16
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2018,44.55
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2019,27.05
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2020,35.9
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2021,37.55
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2022,44.04
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2023,43.57
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Femenino,TOTAL,2024,49.91
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2010,5.56
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2011,8.96
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2012,10.48
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2013,20.54
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2014,15.41
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2015,39.73
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2016,56.64
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2017,35.87
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2018,35
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2019,25.86
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2020,30.1
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2021,30.51
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2022,38.46
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2023,33.73
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Masculino,TOTAL,2024,40.69
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2012,11.11
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2014,20.69
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2015,21.05
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2016,50
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2017,46.15
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2018,50
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2019,20.83
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2020,42.86
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2021,50
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2022,47.62
