Municipio,Indicador11,Año,Sexo,Grupo_Etareo,Valor
Abejorral,Tasa de intento de suicidio,2009,Femenino,Total,0
Abejorral,Tasa de intento de suicidio,2010,Femenino,Total,0
Abejorral,Tasa de intento de suicidio,2011,Femenino,Total,0
Abejorral,Tasa de intento de suicidio,2012,Femenino,Total,0
Abejorral,Tasa de intento de suicidio,2013,Femenino,Total,10.5
Abejorral,Tasa de intento de suicidio,2014,Femenino,Total,0
Abejorral,Tasa de intento de suicidio,2015,Femenino,Total,0
Abejorral,Tasa de intento de suicidio,2016,Femenino,Total,159.61
Abejorral,Tasa de intento de suicidio,2017,Femenino,Total,320.72
Abejorral,Tasa de intento de suicidio,2018,Femenino,Total,290.1
Abejorral,Tasa de intento de suicidio,2019,Femenino,Total,194.91
Abejorral,Tasa de intento de suicidio,2020,Femenino,Total,185.01
Abejorral,Tasa de intento de suicidio,2021,Femenino,Total,111.58
Abejorral,Tasa de intento de suicidio,2022,Femenino,Total,237.91
Abejorral,Tasa de intento de suicidio,2023,Femenino,Total,314.96
Abejorral,Tasa de intento de suicidio,2009,Masculino,Total,0
Abejorral,Tasa de intento de suicidio,2010,Masculino,Total,0
Abejorral,Tasa de intento de suicidio,2011,Masculino,Total,9.94
Abejorral,Tasa de intento de suicidio,2012,Masculino,Total,0
Abejorral,Tasa de intento de suicidio,2013,Masculino,Total,10.05
Abejorral,Tasa de intento de suicidio,2014,Masculino,Total,10.1
Abejorral,Tasa de intento de suicidio,2015,Masculino,Total,0
Abejorral,Tasa de intento de suicidio,2016,Masculino,Total,61.24
Abejorral,Tasa de intento de suicidio,2017,Masculino,Total,112.91
Abejorral,Tasa de intento de suicidio,2018,Masculino,Total,154.89
Abejorral,Tasa de intento de suicidio,2019,Masculino,Total,161.75
Abejorral,Tasa de intento de suicidio,2020,Masculino,Total,113.66
Abejorral,Tasa de intento de suicidio,2021,Masculino,Total,83.77
Abejorral,Tasa de intento de suicidio,2022,Masculino,Total,90.74
