Indicador1,Grupo_Etareo,Ano,Numerador1,Denominador,Valor1
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2005,,1.330,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2006,,1.287,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2007,,1.243,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2008,,1.204,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2009,,1.170,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2010,,1.143,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2011,,1.115,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2012,,1.094,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2013,,1.072,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2014,,1.051,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2015,,1.031,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2016,,1.011,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2017,,988,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2018,,967,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2019,,677,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2020,,665,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2021,,663,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2022,,2.630,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2023,,1.280,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2024,,622,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2005,,1.321,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2006,,1.283,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2007,,1.244,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2008,,1.206,"0,00"
