Indicador1,Grupo_Etareo,Ano,Numerador1,Denominador,Valor1
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2005,,4.635,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2006,,4.649,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2007,,4.663,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2008,,4.669,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2009,,4.656,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2010,,4.614,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2011,,4.654,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2012,,4.698,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2013,,4.742,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2014,,4.783,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2015,,4.817,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2016,,4.850,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2017,,4.873,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2018,,4.883,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2019,,4.979,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2020,,5.045,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2021,,5.035,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2022,,19.600,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2023,,9.336,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2024,,4.578,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2005,,4.667,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2006,,4.588,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2007,,4.534,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2008,,4.522,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2009,,4.554,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2010,,4.635,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2011,,4.646,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2012,,4.665,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2013,,4.675,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2014,,4.666,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2015,,4.625,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2016,,4.680,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2017,,4.731,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2018,,4.780,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2019,,4.770,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2020,,4.839,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2021,,4.865,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2022,,19.304,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2023,,9.518,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2024,,4.747,"0,00"
