Indicador1,Grupo_Etareo,Ano,Numerador1,Denominador,Valor1
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2005,,1.202,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2006,,1.137,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2007,,1.096,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2008,,1.077,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2009,,1.085,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2010,,1.115,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2011,,1.106,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2012,,1.097,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2013,,1.087,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2014,,1.077,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2015,,1.066,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2016,,1.057,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2017,,1.042,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2018,,1.025,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2019,,1.208,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2020,,1.198,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2021,,1.195,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2022,,4.728,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2023,,2.292,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2024,,1.123,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2005,,1.551,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2006,,1.478,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2007,,1.399,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2008,,1.314,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2009,,1.221,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2010,,1.108,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2011,,1.054,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2012,,1.020,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2013,,1.003,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2014,,1.007,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2015,,1.034,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2016,,1.031,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2017,,1.026,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2018,,1.019,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2019,,1.209,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2020,,1.202,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2021,,1.208,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2022,,4.866,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2023,,2.428,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2024,,1.213,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2005,,1.578,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2006,,1.545,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2007,,1.509,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2008,,1.472,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2009,,1.434,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2010,,1.379,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2011,,1.319,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2012,,1.248,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2013,,1.171,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2014,,1.084,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2015,,985,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2016,,943,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2017,,917,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2018,,911,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2019,,1.230,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2020,,1.215,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2021,,1.216,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2022,,4.854,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2023,,2.406,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2024,,1.201,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2005,,1.425,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2006,,1.411,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2007,,1.399,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2008,,1.385,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2009,,1.372,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2010,,1.353,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2011,,1.327,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2012,,1.298,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2013,,1.265,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2014,,1.223,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2015,,1.182,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2016,,1.129,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2017,,1.072,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2018,,1.008,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2019,,1.248,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2020,,1.223,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2021,,1.219,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2022,,4.810,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2023,,2.348,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2024,,1.162,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2005,,1.151,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2006,,1.160,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2007,,1.169,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2008,,1.181,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2009,,1.188,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2010,,1.188,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2011,,1.180,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2012,,1.172,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2013,,1.160,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2014,,1.147,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2015,,1.131,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2016,,1.106,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2017,,1.083,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2018,,1.054,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2019,,1.177,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2020,,1.163,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2021,,1.160,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2022,,4.628,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2023,,2.272,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 20 a 24 años,2024,,1.113,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 25 a 29 años,2005,,883,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 25 a 29 años,2006,,898,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 25 a 29 años,2007,,915,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 25 a 29 años,2008,,939,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 25 a 29 años,2009,,956,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 25 a 29 años,2010,,972,"0,00"
