Indicador1,Grupo_Etareo,Ano,Numerador1,Denominador,Valor1
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2005,,1.700,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2006,,1.665,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2007,,1.628,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2008,,1.596,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2009,,1.569,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2010,,1.541,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2011,,1.510,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2012,,1.481,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2013,,1.453,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2014,,1.428,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2015,,1.401,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2016,,1.377,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2017,,1.350,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2018,,1.319,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2019,,1.668,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2020,,1.663,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2021,,1.657,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2022,,6.528,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2023,,3.148,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2024,,1.543,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2005,,1.893,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2006,,1.818,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2007,,1.746,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2008,,1.681,"0,00"
