Indicador1,Grupo_Etareo,Ano,Numerador1,Denominador,Valor1
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2005,,2.386,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2006,,2.350,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2007,,2.322,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2008,,2.299,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2009,,2.287,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2010,,2.280,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2011,,2.269,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2012,,2.259,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2013,,2.253,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2014,,2.245,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2015,,2.240,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2016,,2.234,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2017,,2.226,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2018,,2.211,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2019,,3.476,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2020,,3.495,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2021,,3.494,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2022,,13.726,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2023,,6.596,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 0 a 04 años,2024,,3.233,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2005,,2.569,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2006,,2.518,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2007,,2.467,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2008,,2.415,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2009,,2.363,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2010,,2.311,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2011,,2.277,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2012,,2.249,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2013,,2.231,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2014,,2.220,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2015,,2.216,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2016,,2.211,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2017,,2.205,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2018,,2.200,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2019,,3.307,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2020,,3.320,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2021,,3.338,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2022,,13.372,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2023,,6.680,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 05 a 09 años,2024,,3.335,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2005,,2.708,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2006,,2.680,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2007,,2.641,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2008,,2.588,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2009,,2.531,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2010,,2.476,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2011,,2.423,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2012,,2.369,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2013,,2.319,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2014,,2.268,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2015,,2.217,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2016,,2.197,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2017,,2.185,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2018,,2.177,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2019,,3.103,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2020,,3.094,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2021,,3.090,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2022,,12.294,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2023,,6.104,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 10 a 14 años,2024,,3.048,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2005,,2.552,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2006,,2.576,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2007,,2.592,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2008,,2.598,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2009,,2.593,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2010,,2.576,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,De 15 a 19 años,2011,,2.548,"0,00"
