Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,2,,"2,00"
Número de IPS habilitadas con el servicio de psicología,2016,3,,"3,00"
Número de IPS habilitadas con el servicio de psicología,2017,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2018,5,,"5,00"
Número de IPS habilitadas con el servicio de psicología,2019,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2020,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2021,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2022,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2023,3,,"3,00"
Número de IPS habilitadas con el servicio de psicología,2024,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2009,,,
Número de IPS habilitadas con el servicio de psiquiatría,2010,,,
Número de IPS habilitadas con el servicio de psiquiatría,2011,,,
Número de IPS habilitadas con el servicio de psiquiatría,2012,,,
Número de IPS habilitadas con el servicio de psiquiatría,2013,,,
Número de IPS habilitadas con el servicio de psiquiatría,2014,,,
Número de IPS habilitadas con el servicio de psiquiatría,2015,,,
Número de IPS habilitadas con el servicio de psiquiatría,2016,,,
Número de IPS habilitadas con el servicio de psiquiatría,2017,,,
Número de IPS habilitadas con el servicio de psiquiatría,2018,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2019,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2022,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2023,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2024,2,,"2,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,5,10.707,"13,21"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,9,12.823,"17,83"
