Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de neurología,2009,,,
Número de IPS habilitadas con el servicio de neurología,2010,,,
Número de IPS habilitadas con el servicio de neurología,2011,,,
Número de IPS habilitadas con el servicio de neurología,2012,,,
Número de IPS habilitadas con el servicio de neurología,2013,,,
Número de IPS habilitadas con el servicio de neurología,2014,,,
Número de IPS habilitadas con el servicio de neurología,2015,,,
Número de IPS habilitadas con el servicio de neurología,2016,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2017,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2018,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2019,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2024,,,
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2016,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2017,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2018,2,,"2,00"
Número de IPS habilitadas con el servicio de psicología,2019,2,,"2,00"
Número de IPS habilitadas con el servicio de psicología,2020,2,,"2,00"
Número de IPS habilitadas con el servicio de psicología,2021,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2022,5,,"5,00"
Número de IPS habilitadas con el servicio de psicología,2023,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2024,4,,"4,00"
Número de IPS habilitadas con el servicio de psiquiatría,2009,,,
Número de IPS habilitadas con el servicio de psiquiatría,2010,,,
Número de IPS habilitadas con el servicio de psiquiatría,2011,,,
Número de IPS habilitadas con el servicio de psiquiatría,2012,,,
Número de IPS habilitadas con el servicio de psiquiatría,2013,,,
Número de IPS habilitadas con el servicio de psiquiatría,2014,,,
Número de IPS habilitadas con el servicio de psiquiatría,2015,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2016,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2017,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2018,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2019,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2020,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2021,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2022,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2023,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2024,1,,"1,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,2,2.917,"10,42"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,1,1.729,"4,90"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,3,3.540,"16,86"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,2,2.897,"10,08"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,1,1.586,"4,80"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,2,2.225,"10,81"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,3,5.111,"13,96"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,4,5.872,"19,92"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,2,2.942,"9,69"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,3,5.446,"13,09"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,1,1.856,"3,55"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2022,1,1.914,"3,98"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2024,2,3.370,"9,89"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2009,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2010,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2011,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2012,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2013,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2014,2,617,"14,51"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2015,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2016,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2017,1,272,"5,59"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2018,1,244,"6,19"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2019,1,468,"3,23"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2020,3,493,"9,19"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2021,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2022,1,1.683,"2,70"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2023,1,524,"2,88"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2024,,,
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2009,,17.858,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2010,,18.081,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2011,,18.281,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2012,,18.502,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2013,,18.712,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2014,26,18.916,"139,56"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2015,,19.108,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2016,,19.310,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2017,12,19.507,"62,95"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2018,9,19.702,"45,17"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2019,9,24.185,"36,80"
