Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,,,
Número de IPS habilitadas con el servicio de psicología,2016,,,
Número de IPS habilitadas con el servicio de psicología,2017,,,
Número de IPS habilitadas con el servicio de psicología,2018,,,
Número de IPS habilitadas con el servicio de psicología,2019,,,
Número de IPS habilitadas con el servicio de psicología,2020,,,
Número de IPS habilitadas con el servicio de psicología,2021,,,
Número de IPS habilitadas con el servicio de psicología,2022,,,
Número de IPS habilitadas con el servicio de psicología,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2024,1,,"1,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,1,651,"9,28"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,1,521,"13,72"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,2,1.185,"21,95"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,1,216,"10,23"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,1,504,"13,08"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,1,551,"12,98"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,1,553,"9,71"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,1,393,"7,53"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2022,2,1.352,"20,29"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2023,1,278,"5,43"
