Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de neurología,2009,,,
Número de IPS habilitadas con el servicio de neurología,2010,,,
Número de IPS habilitadas con el servicio de neurología,2011,,,
Número de IPS habilitadas con el servicio de neurología,2012,,,
Número de IPS habilitadas con el servicio de neurología,2013,,,
Número de IPS habilitadas con el servicio de neurología,2014,,,
Número de IPS habilitadas con el servicio de neurología,2015,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2016,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2017,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2018,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2019,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2024,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,6,,"6,00"
Número de IPS habilitadas con el servicio de psicología,2016,8,,"8,00"
Número de IPS habilitadas con el servicio de psicología,2017,10,,"10,00"
Número de IPS habilitadas con el servicio de psicología,2018,10,,"10,00"
Número de IPS habilitadas con el servicio de psicología,2019,9,,"9,00"
Número de IPS habilitadas con el servicio de psicología,2020,9,,"9,00"
Número de IPS habilitadas con el servicio de psicología,2021,8,,"8,00"
Número de IPS habilitadas con el servicio de psicología,2022,8,,"8,00"
Número de IPS habilitadas con el servicio de psicología,2023,8,,"8,00"
Número de IPS habilitadas con el servicio de psicología,2024,6,,"6,00"
Número de IPS habilitadas con el servicio de psiquiatría,2009,,,
Número de IPS habilitadas con el servicio de psiquiatría,2010,,,
Número de IPS habilitadas con el servicio de psiquiatría,2011,,,
Número de IPS habilitadas con el servicio de psiquiatría,2012,,,
Número de IPS habilitadas con el servicio de psiquiatría,2013,,,
Número de IPS habilitadas con el servicio de psiquiatría,2014,,,
Número de IPS habilitadas con el servicio de psiquiatría,2015,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2016,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2017,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2018,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2019,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2020,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2021,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2022,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2023,3,,"3,00"
Número de IPS habilitadas con el servicio de psiquiatría,2024,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2009,,,
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2010,,,
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2011,,,
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2012,,,
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2013,,,
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2014,,,
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2015,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2016,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2017,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2018,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2019,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría o unidad de salud mental,2024,1,,"1,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,4,13.964,"8,11"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,2,5.741,"4,58"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,2,5.087,"3,33"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,2,5.151,"4,62"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,5,21.663,"9,05"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,7,17.024,"12,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,6,19.820,"10,99"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,3,11.255,"5,67"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,4,8.650,"6,66"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,5,12.387,"9,56"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,6,26.186,"8,75"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,8,21.470,"9,56"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,6,16.539,"8,73"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2022,5,24.853,"6,77"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2023,5,26.558,"6,31"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2024,9,31.936,"10,79"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2009,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2010,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2011,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2012,1,560,"2,70"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2013,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2014,1,599,"2,52"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2015,1,649,"2,34"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2016,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2017,3,6.454,"6,16"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2018,1,687,"2,20"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2019,,,
