Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de neurología,2009,,,
Número de IPS habilitadas con el servicio de neurología,2010,,,
Número de IPS habilitadas con el servicio de neurología,2011,,,
Número de IPS habilitadas con el servicio de neurología,2012,,,
Número de IPS habilitadas con el servicio de neurología,2013,,,
Número de IPS habilitadas con el servicio de neurología,2014,,,
Número de IPS habilitadas con el servicio de neurología,2015,,,
Número de IPS habilitadas con el servicio de neurología,2016,,,
Número de IPS habilitadas con el servicio de neurología,2017,,,
Número de IPS habilitadas con el servicio de neurología,2018,,,
Número de IPS habilitadas con el servicio de neurología,2019,,,
Número de IPS habilitadas con el servicio de neurología,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2021,,,
Número de IPS habilitadas con el servicio de neurología,2022,,,
Número de IPS habilitadas con el servicio de neurología,2023,,,
Número de IPS habilitadas con el servicio de neurología,2024,,,
Número de IPS habilitadas con el servicio de neuropediatría,2009,,,
Número de IPS habilitadas con el servicio de neuropediatría,2010,,,
Número de IPS habilitadas con el servicio de neuropediatría,2011,,,
Número de IPS habilitadas con el servicio de neuropediatría,2012,,,
Número de IPS habilitadas con el servicio de neuropediatría,2013,,,
Número de IPS habilitadas con el servicio de neuropediatría,2014,,,
Número de IPS habilitadas con el servicio de neuropediatría,2015,,,
Número de IPS habilitadas con el servicio de neuropediatría,2016,,,
Número de IPS habilitadas con el servicio de neuropediatría,2017,,,
Número de IPS habilitadas con el servicio de neuropediatría,2018,,,
Número de IPS habilitadas con el servicio de neuropediatría,2019,,,
Número de IPS habilitadas con el servicio de neuropediatría,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de neuropediatría,2021,,,
Número de IPS habilitadas con el servicio de neuropediatría,2022,,,
Número de IPS habilitadas con el servicio de neuropediatría,2023,,,
Número de IPS habilitadas con el servicio de neuropediatría,2024,,,
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,2,,"2,00"
Número de IPS habilitadas con el servicio de psicología,2016,2,,"2,00"
Número de IPS habilitadas con el servicio de psicología,2017,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2018,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2019,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2020,6,,"6,00"
Número de IPS habilitadas con el servicio de psicología,2021,5,,"5,00"
Número de IPS habilitadas con el servicio de psicología,2022,6,,"6,00"
Número de IPS habilitadas con el servicio de psicología,2023,7,,"7,00"
Número de IPS habilitadas con el servicio de psicología,2024,7,,"7,00"
Número de IPS habilitadas con el servicio de psiquiatría,2009,,,
Número de IPS habilitadas con el servicio de psiquiatría,2010,,,
Número de IPS habilitadas con el servicio de psiquiatría,2011,,,
Número de IPS habilitadas con el servicio de psiquiatría,2012,,,
Número de IPS habilitadas con el servicio de psiquiatría,2013,,,
Número de IPS habilitadas con el servicio de psiquiatría,2014,,,
Número de IPS habilitadas con el servicio de psiquiatría,2015,,,
Número de IPS habilitadas con el servicio de psiquiatría,2016,,,
Número de IPS habilitadas con el servicio de psiquiatría,2017,,,
Número de IPS habilitadas con el servicio de psiquiatría,2018,,,
Número de IPS habilitadas con el servicio de psiquiatría,2019,,,
Número de IPS habilitadas con el servicio de psiquiatría,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2021,,,
Número de IPS habilitadas con el servicio de psiquiatría,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2023,2,,"2,00"
Número de IPS habilitadas con el servicio de psiquiatría,2024,2,,"2,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,2,2.068,"12,25"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,2,3.258,"9,75"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,1,843,"6,37"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,2,3.137,"9,97"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,1,1.769,"4,79"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,1,1.041,"5,80"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,2,3.498,"9,54"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,1,1.321,"4,57"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,1,1.338,"4,01"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,1,1.778,"4,84"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2022,2,3.700,"8,88"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2024,2,2.230,"7,82"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2009,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2010,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2011,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2012,1,167,"9,04"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2013,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2014,1,441,"6,71"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2015,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2016,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2017,3,790,"21,60"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2018,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2019,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2020,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2021,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2022,2,2.042,"8,19"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2023,1,372,"4,09"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2024,3,1.602,"10,38"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2009,,18.436,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2010,,18.564,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2011,,18.675,"0,00"
