Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de neurología,2009,,,
Número de IPS habilitadas con el servicio de neurología,2010,,,
Número de IPS habilitadas con el servicio de neurología,2011,,,
Número de IPS habilitadas con el servicio de neurología,2012,,,
Número de IPS habilitadas con el servicio de neurología,2013,,,
Número de IPS habilitadas con el servicio de neurología,2014,,,
Número de IPS habilitadas con el servicio de neurología,2015,,,
Número de IPS habilitadas con el servicio de neurología,2016,,,
Número de IPS habilitadas con el servicio de neurología,2017,,,
Número de IPS habilitadas con el servicio de neurología,2018,,,
Número de IPS habilitadas con el servicio de neurología,2019,,,
Número de IPS habilitadas con el servicio de neurología,2020,,,
Número de IPS habilitadas con el servicio de neurología,2021,,,
Número de IPS habilitadas con el servicio de neurología,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2024,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,3,,"3,00"
Número de IPS habilitadas con el servicio de psicología,2016,3,,"3,00"
Número de IPS habilitadas con el servicio de psicología,2017,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2018,5,,"5,00"
Número de IPS habilitadas con el servicio de psicología,2019,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2020,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2021,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2022,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2023,4,,"4,00"
Número de IPS habilitadas con el servicio de psicología,2024,4,,"4,00"
Número de IPS habilitadas con el servicio de psiquiatría,2009,,,
Número de IPS habilitadas con el servicio de psiquiatría,2010,,,
Número de IPS habilitadas con el servicio de psiquiatría,2011,,,
Número de IPS habilitadas con el servicio de psiquiatría,2012,,,
Número de IPS habilitadas con el servicio de psiquiatría,2013,,,
Número de IPS habilitadas con el servicio de psiquiatría,2014,,,
Número de IPS habilitadas con el servicio de psiquiatría,2015,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2016,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2017,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2018,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2019,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2024,1,,"1,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,2,5.488,"4,90"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,1,1.599,"2,85"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,1,5.565,"1,52"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,3,10.404,"6,54"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,3,7.644,"5,43"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,4,12.360,"7,89"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,2,9.715,"3,38"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,2,9.804,"3,35"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,8,24.241,"14,83"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,4,18.255,"5,94"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,4,17.022,"6,09"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2022,5,26.057,"6,93"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2023,2,9.243,"3,12"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2024,2,11.107,"2,77"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2009,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2010,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2011,1,2.115,"2,54"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2012,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2013,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2014,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2015,1,622,"2,43"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2016,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2017,1,662,"2,28"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2018,1,675,"2,24"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2019,1,983,"1,54"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2020,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2021,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2022,2,2.814,"2,67"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2023,2,1.106,"2,73"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2024,3,4.887,"3,83"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2009,,48.585,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2010,,49.361,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2011,31,50.161,"61,78"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2012,,50.955,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2013,,51.767,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2014,,52.559,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2015,7,53.374,"13,96"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2016,,54.186,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2017,9,55.000,"16,18"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2018,7,55.798,"13,35"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2019,7,66.399,"11,22"
