Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de neurología,2009,,,
Número de IPS habilitadas con el servicio de neurología,2010,,,
Número de IPS habilitadas con el servicio de neurología,2011,,,
Número de IPS habilitadas con el servicio de neurología,2012,,,
Número de IPS habilitadas con el servicio de neurología,2013,,,
Número de IPS habilitadas con el servicio de neurología,2014,,,
Número de IPS habilitadas con el servicio de neurología,2015,5,,"5,00"
Número de IPS habilitadas con el servicio de neurología,2016,7,,"7,00"
Número de IPS habilitadas con el servicio de neurología,2017,8,,"8,00"
Número de IPS habilitadas con el servicio de neurología,2018,11,,"11,00"
Número de IPS habilitadas con el servicio de neurología,2019,11,,"11,00"
Número de IPS habilitadas con el servicio de neurología,2020,12,,"12,00"
Número de IPS habilitadas con el servicio de neurología,2021,12,,"12,00"
Número de IPS habilitadas con el servicio de neurología,2022,16,,"16,00"
Número de IPS habilitadas con el servicio de neurología,2023,17,,"17,00"
Número de IPS habilitadas con el servicio de neurología,2024,15,,"15,00"
Número de IPS habilitadas con el servicio de neuropediatría,2009,,,
Número de IPS habilitadas con el servicio de neuropediatría,2010,,,
Número de IPS habilitadas con el servicio de neuropediatría,2011,,,
Número de IPS habilitadas con el servicio de neuropediatría,2012,,,
Número de IPS habilitadas con el servicio de neuropediatría,2013,,,
Número de IPS habilitadas con el servicio de neuropediatría,2014,,,
Número de IPS habilitadas con el servicio de neuropediatría,2015,3,,"3,00"
Número de IPS habilitadas con el servicio de neuropediatría,2016,3,,"3,00"
Número de IPS habilitadas con el servicio de neuropediatría,2017,3,,"3,00"
Número de IPS habilitadas con el servicio de neuropediatría,2018,3,,"3,00"
Número de IPS habilitadas con el servicio de neuropediatría,2019,3,,"3,00"
Número de IPS habilitadas con el servicio de neuropediatría,2020,4,,"4,00"
Número de IPS habilitadas con el servicio de neuropediatría,2021,5,,"5,00"
Número de IPS habilitadas con el servicio de neuropediatría,2022,6,,"6,00"
Número de IPS habilitadas con el servicio de neuropediatría,2023,6,,"6,00"
Número de IPS habilitadas con el servicio de neuropediatría,2024,9,,"9,00"
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,30,,"30,00"
Número de IPS habilitadas con el servicio de psicología,2016,33,,"33,00"
Número de IPS habilitadas con el servicio de psicología,2017,35,,"35,00"
Número de IPS habilitadas con el servicio de psicología,2018,35,,"35,00"
Número de IPS habilitadas con el servicio de psicología,2019,38,,"38,00"
Número de IPS habilitadas con el servicio de psicología,2020,39,,"39,00"
Número de IPS habilitadas con el servicio de psicología,2021,44,,"44,00"
Número de IPS habilitadas con el servicio de psicología,2022,45,,"45,00"
Número de IPS habilitadas con el servicio de psicología,2023,47,,"47,00"
Número de IPS habilitadas con el servicio de psicología,2024,42,,"42,00"
Número de IPS habilitadas con el servicio de psiquiatría,2009,,,
Número de IPS habilitadas con el servicio de psiquiatría,2010,,,
Número de IPS habilitadas con el servicio de psiquiatría,2011,,,
Número de IPS habilitadas con el servicio de psiquiatría,2012,,,
Número de IPS habilitadas con el servicio de psiquiatría,2013,,,
Número de IPS habilitadas con el servicio de psiquiatría,2014,,,
Número de IPS habilitadas con el servicio de psiquiatría,2015,6,,"6,00"
Número de IPS habilitadas con el servicio de psiquiatría,2016,7,,"7,00"
Número de IPS habilitadas con el servicio de psiquiatría,2017,8,,"8,00"
Número de IPS habilitadas con el servicio de psiquiatría,2018,9,,"9,00"
Número de IPS habilitadas con el servicio de psiquiatría,2019,10,,"10,00"
Número de IPS habilitadas con el servicio de psiquiatría,2020,11,,"11,00"
Número de IPS habilitadas con el servicio de psiquiatría,2021,14,,"14,00"
Número de IPS habilitadas con el servicio de psiquiatría,2022,14,,"14,00"
Número de IPS habilitadas con el servicio de psiquiatría,2023,13,,"13,00"
Número de IPS habilitadas con el servicio de psiquiatría,2024,11,,"11,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,7,34.516,"6,82"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,9,45.544,"7,46"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,6,30.935,"4,76"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,7,43.376,"5,82"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,8,45.563,"6,44"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,13,76.409,"11,05"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,8,49.503,"6,28"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,7,48.867,"5,38"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,13,56.091,"9,87"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,9,61.330,"7,03"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,16,89.106,"10,19"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,11,81.276,"6,98"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,7,45.833,"4,41"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2022,15,65.622,"9,04"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2023,8,49.745,"4,83"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2024,12,85.494,"7,49"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2009,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2010,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2011,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2012,1,1.204,"1,25"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2013,2,1.225,"2,47"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2014,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2015,4,5.948,"4,55"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2016,2,1.346,"2,24"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2017,3,9.060,"2,95"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2018,3,1.406,"3,22"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2019,4,6.323,"2,40"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2020,3,19.502,"1,74"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2021,7,16.060,"3,81"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2022,11,31.851,"6,12"
