Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2016,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2017,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2018,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2019,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2024,1,,"1,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,1,495,"16,61"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,2,570,"44,36"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,1,536,"15,80"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,1,423,"20,02"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,1,357,"21,32"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2023,,,
