Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2016,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2017,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2018,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2019,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2024,1,,"1,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,5,4.551,"27,02"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,1,1.633,"5,03"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,1,1.785,"4,75"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,4,3.489,"21,97"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,1,856,"5,32"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,1,1.026,"6,42"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,3,3.734,"18,32"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,3,3.358,"14,41"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,4,3.753,"16,64"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,,,
