Indicador1,Ano,Numerador1,Denominador,Valor1
Número de IPS habilitadas con el servicio de neurología,2009,,,
Número de IPS habilitadas con el servicio de neurología,2010,,,
Número de IPS habilitadas con el servicio de neurología,2011,,,
Número de IPS habilitadas con el servicio de neurología,2012,,,
Número de IPS habilitadas con el servicio de neurología,2013,,,
Número de IPS habilitadas con el servicio de neurología,2014,,,
Número de IPS habilitadas con el servicio de neurología,2015,,,
Número de IPS habilitadas con el servicio de neurología,2016,,,
Número de IPS habilitadas con el servicio de neurología,2017,,,
Número de IPS habilitadas con el servicio de neurología,2018,,,
Número de IPS habilitadas con el servicio de neurología,2019,,,
Número de IPS habilitadas con el servicio de neurología,2020,,,
Número de IPS habilitadas con el servicio de neurología,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de neurología,2024,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2009,,,
Número de IPS habilitadas con el servicio de psicología,2010,,,
Número de IPS habilitadas con el servicio de psicología,2011,,,
Número de IPS habilitadas con el servicio de psicología,2012,,,
Número de IPS habilitadas con el servicio de psicología,2013,,,
Número de IPS habilitadas con el servicio de psicología,2014,,,
Número de IPS habilitadas con el servicio de psicología,2015,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2016,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2017,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2018,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2019,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2020,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2021,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2022,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de psicología,2024,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2009,,,
Número de IPS habilitadas con el servicio de psiquiatría,2010,,,
Número de IPS habilitadas con el servicio de psiquiatría,2011,,,
Número de IPS habilitadas con el servicio de psiquiatría,2012,,,
Número de IPS habilitadas con el servicio de psiquiatría,2013,,,
Número de IPS habilitadas con el servicio de psiquiatría,2014,,,
Número de IPS habilitadas con el servicio de psiquiatría,2015,,,
Número de IPS habilitadas con el servicio de psiquiatría,2016,,,
Número de IPS habilitadas con el servicio de psiquiatría,2017,,,
Número de IPS habilitadas con el servicio de psiquiatría,2018,,,
Número de IPS habilitadas con el servicio de psiquiatría,2019,,,
Número de IPS habilitadas con el servicio de psiquiatría,2020,,,
Número de IPS habilitadas con el servicio de psiquiatría,2021,,,
Número de IPS habilitadas con el servicio de psiquiatría,2022,,,
Número de IPS habilitadas con el servicio de psiquiatría,2023,1,,"1,00"
Número de IPS habilitadas con el servicio de psiquiatría,2024,1,,"1,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2009,4,7.792,"12,65"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2010,6,7.825,"12,86"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2011,2,6.233,"4,87"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2012,2,5.024,"5,56"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2013,2,3.950,"5,79"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2014,2,6.484,"5,07"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2015,5,9.601,"13,94"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2016,1,3.159,"2,51"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2017,3,4.923,"9,08"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2018,3,5.573,"9,16"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2019,1,2.037,"2,97"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2020,2,3.652,"5,05"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2021,3,5.832,"7,47"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2022,3,7.392,"8,07"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2023,4,7.831,"10,61"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,2024,4,10.821,"11,36"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2009,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2010,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2011,1,460,"3,28"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2012,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2013,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2014,1,463,"3,26"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2015,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2016,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2017,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2018,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2019,1,984,"2,25"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2020,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2021,,,
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2022,1,842,"1,79"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2023,1,2.625,"2,51"
Tasa ajustada de mortalidad por trastornos mentales y del comportamiento,2024,1,908,"1,66"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2009,,37.452,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2010,,37.116,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2011,7,36.781,"20,26"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2012,,36.445,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2013,,36.104,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2014,7,35.750,"20,84"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2015,,35.405,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2016,,35.056,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2017,,34.696,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2018,,34.339,"0,00"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2019,16,36.394,"44,51"
Tasa de años de vida potencialmente perdidos por trastornos mentales y del comportamiento,2020,,36.625,"0,00"
