Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"4,00","5.852,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"4,00","5.782,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"4,00","6.166,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"7,00","7.738,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"3,00","6.738,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"11,00","15.662,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"11,00","7.501,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"1,00","4.380,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"11,00","6.401,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"7,00","6.977,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"21,00","9.065,00","0,23"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"8,00","5.146,00","0,16"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"6,00","4.396,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"18,00","5.809,00","0,31"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"16,00","7.418,00","0,22"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"11,00","7.680,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"2,00","3.950,00","0,05"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"2,00","3.993,00","0,05"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"1,00","4.092,00","0,02"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"3,00","5.345,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"6,00","4.400,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"10,00","10.077,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"7,00","5.423,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"3,00","2.797,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"2,00","5.435,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"4,00","5.793,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"7,00","6.777,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"6,00","3.810,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"9,00","3.232,00","0,28"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"20,00","4.044,00","0,49"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"17,00","5.801,00","0,29"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"13,00","6.016,00","0,22"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","1.393,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","1.454,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","1.298,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","1.404,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","1.175,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","2.003,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","1.378,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","410,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"1,00","784,00","0,13"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","837,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","1.258,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","881,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","563,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"1,00","1.105,00","0,09"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","1.014,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","1.221,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","1.093,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","1.155,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","1.280,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","1.139,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","1.962,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"0,00","1.248,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","431,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"0,00","890,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","1.042,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","1.270,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","627,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","428,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","1.089,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","1.016,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","891,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"0,00","814,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","847,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","1.439,00","0,00"
