Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"0,00","1.434,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"0,00","1.356,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"0,00","1.167,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"0,00","1.123,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"1,00","1.188,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"2,00","1.274,00","0,16"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"2,00","1.079,00","0,19"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"1,00","564,00","0,18"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"0,00","558,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"2,00","1.339,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"3,00","2.003,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"0,00","893,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"3,00","688,00","0,44"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"2,00","924,00","0,22"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"3,00","1.613,00","0,19"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"4,00","1.540,00","0,26"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","983,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"0,00","944,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"0,00","720,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"1,00","645,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"1,00","757,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"1,00","818,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"0,00","625,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"1,00","310,00","0,32"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"0,00","293,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"1,00","859,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"2,00","1.344,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"0,00","595,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"0,00","425,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"1,00","632,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"1,00","1.235,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"0,00","1.192,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","292,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","305,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","181,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","228,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","223,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","215,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","165,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","65,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","33,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","162,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"1,00","338,00","0,30"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","127,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","39,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","183,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","160,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","281,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","281,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","228,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","185,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","216,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","175,00","0,00"
