Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"1,00","2.283,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"0,00","2.617,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"1,00","3.747,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"1,00","4.168,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"1,00","4.551,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"3,00","4.534,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"4,00","4.486,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"4,00","3.751,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"5,00","4.472,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"5,00","5.326,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"8,00","6.600,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"4,00","3.485,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"3,00","2.652,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"8,00","3.621,00","0,22"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"7,00","5.393,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"14,00","5.971,00","0,23"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","1.449,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"0,00","1.713,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"0,00","2.384,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"0,00","2.656,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"0,00","2.886,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"0,00","3.009,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"2,00","2.862,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"1,00","2.299,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"2,00","3.027,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"5,00","3.856,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"10,00","4.677,00","0,21"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"7,00","2.243,00","0,31"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"4,00","1.486,00","0,27"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"4,00","2.255,00","0,18"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"6,00","3.694,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"8,00","4.440,00","0,18"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","432,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","498,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","738,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","912,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","908,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","845,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","767,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","676,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","692,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","811,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","1.164,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","560,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","296,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","895,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","777,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","351,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","413,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","656,00","0,00"
