Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"3,00","1.602,00","0,19"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"1,00","1.502,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"0,00","1.412,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"1,00","1.456,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"1,00","1.440,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"1,00","1.439,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"1,00","1.455,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"3,00","1.243,00","0,24"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"1,00","728,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"1,00","1.409,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"0,00","1.768,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"0,00","1.047,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"2,00","701,00","0,29"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"2,00","994,00","0,20"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"12,00","1.411,00","0,85"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"18,00","1.412,00","1,27"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","1.219,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"0,00","1.134,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"0,00","1.079,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"0,00","1.057,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"1,00","1.009,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"1,00","1.108,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"1,00","1.092,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"2,00","910,00","0,22"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"1,00","419,00","0,24"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"3,00","1.071,00","0,28"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"2,00","1.331,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"1,00","698,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"1,00","515,00","0,19"
