Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"7,00","11.717,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"7,00","9.572,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"5,00","9.697,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"5,00","8.713,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"5,00","11.487,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"11,00","12.914,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"10,00","13.168,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"10,00","12.772,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"28,00","15.677,00","0,18"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"33,00","18.036,00","0,18"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"28,00","22.248,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"35,00","17.125,00","0,20"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"52,00","17.870,00","0,29"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"47,00","19.523,00","0,24"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"53,00","20.808,00","0,25"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"32,00","13.685,00","0,23"
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2009,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2010,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2011,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2012,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2013,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2014,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2015,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2016,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2017,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2018,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2019,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2020,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2021,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2022,,,
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2023,"0,00","1,00","0,00"
Porcentaje de personas atendidas por demencia,Indeterminado,TOTAL,2024,"0,00","1,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"2,00","8.482,00","0,02"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"2,00","6.335,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"4,00","6.572,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"1,00","6.245,00","0,02"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"7,00","8.039,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"11,00","9.421,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"8,00","9.817,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"13,00","9.141,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"15,00","11.871,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"24,00","14.001,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"41,00","17.360,00","0,24"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"24,00","12.505,00","0,19"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"36,00","13.450,00","0,27"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"34,00","14.323,00","0,24"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"31,00","15.462,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"23,00","10.373,00","0,22"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","2.474,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","1.984,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","1.791,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","1.437,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","1.763,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","1.937,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","2.014,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","1.752,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","2.245,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","2.560,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","4.228,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","2.677,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","2.624,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","2.731,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","1.660,00","0,00"
