Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"5,00","3.036,00","0,16"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"1,00","3.061,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"0,00","2.753,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"2,00","2.835,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"0,00","3.252,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"5,00","3.482,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"4,00","2.932,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"5,00","2.515,00","0,20"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"6,00","2.800,00","0,21"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"2,00","3.644,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"4,00","4.155,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"2,00","2.174,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"4,00","1.652,00","0,24"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"5,00","2.001,00","0,25"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"5,00","2.927,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"4,00","3.063,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","1.999,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"3,00","1.948,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"0,00","1.734,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"2,00","2.036,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"0,00","2.216,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"2,00","2.571,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"3,00","2.002,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"3,00","1.530,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"3,00","1.911,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"6,00","2.673,00","0,22"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"4,00","2.970,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"3,00","1.492,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"5,00","948,00","0,53"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"4,00","1.225,00","0,33"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"3,00","2.010,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"2,00","2.342,00","0,09"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","596,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","539,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","482,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","529,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","597,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","577,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","482,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","498,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","513,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","604,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","745,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","371,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","264,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","509,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","480,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","583,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","549,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","532,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","461,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","670,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","707,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"0,00","455,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","374,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"0,00","446,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","690,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","728,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","227,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","151,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
