Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"8,00","8.107,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"6,00","8.569,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"6,00","7.331,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"11,00","10.504,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"15,00","11.414,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"22,00","12.246,00","0,18"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"32,00","12.623,00","0,25"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"30,00","13.115,00","0,23"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"35,00","13.503,00","0,26"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"57,00","16.896,00","0,34"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"51,00","19.576,00","0,26"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"47,00","15.739,00","0,30"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"63,00","16.317,00","0,39"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"66,00","19.169,00","0,34"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"61,00","20.753,00","0,29"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"48,00","11.964,00","0,40"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"3,00","5.996,00","0,05"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"4,00","5.920,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"4,00","5.088,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"6,00","7.207,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"9,00","7.703,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"13,00","8.651,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"14,00","9.183,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"15,00","9.586,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"16,00","10.096,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"25,00","13.195,00","0,19"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"27,00","14.964,00","0,18"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"32,00","11.969,00","0,27"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"38,00","12.755,00","0,30"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"36,00","14.360,00","0,25"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"36,00","15.750,00","0,23"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"33,00","9.200,00","0,36"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","1.574,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","1.468,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","1.196,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","1.650,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","1.620,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","1.654,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","1.666,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","1.547,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","1.527,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","2.003,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","3.025,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","2.069,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","1.780,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","2.186,00","0,00"
