Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"21,00","19.627,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"11,00","18.817,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"18,00","18.365,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"22,00","21.042,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"27,00","23.431,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"32,00","23.361,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"40,00","23.343,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"51,00","23.741,00","0,21"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"75,00","26.517,00","0,28"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"106,00","28.652,00","0,37"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"131,00","31.539,00","0,42"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"124,00","25.570,00","0,48"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"116,00","29.695,00","0,39"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"62,00","17.359,00","0,36"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"65,00","16.979,00","0,38"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"52,00","12.387,00","0,42"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"11,00","16.282,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"16,00","14.869,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"19,00","14.192,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"17,00","16.190,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"31,00","18.425,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"34,00","18.296,00","0,19"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"38,00","18.721,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"33,00","19.133,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"55,00","21.399,00","0,26"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"64,00","23.351,00","0,27"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"82,00","26.131,00","0,31"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"63,00","20.252,00","0,31"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"72,00","23.549,00","0,31"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"40,00","13.011,00","0,31"
