Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"3,00","4.596,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"5,00","3.998,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"3,00","3.602,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"4,00","6.342,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"5,00","6.932,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"4,00","7.523,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"6,00","7.769,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"10,00","5.580,00","0,18"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"23,00","7.867,00","0,29"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"13,00","8.670,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"16,00","9.558,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"7,00","6.904,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"12,00","6.355,00","0,19"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"9,00","5.204,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"12,00","6.424,00","0,19"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"13,00","6.062,00","0,21"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"1,00","3.073,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"1,00","2.600,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"1,00","2.403,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"6,00","4.026,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"9,00","4.530,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"8,00","5.320,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"8,00","5.587,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"6,00","3.820,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"12,00","5.995,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"9,00","6.844,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"10,00","7.276,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"8,00","4.880,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"12,00","4.479,00","0,27"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"6,00","3.576,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"4,00","4.842,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"8,00","4.594,00","0,17"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","960,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","656,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","552,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","1.051,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","949,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","1.173,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","1.180,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","793,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","1.146,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","1.242,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"1,00","1.511,00","0,07"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","979,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","786,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","919,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","733,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","750,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","522,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","386,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","916,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","1.151,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","1.326,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"0,00","1.402,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","870,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"1,00","1.359,00","0,07"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","1.586,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","1.490,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","840,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","610,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","823,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","837,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","660,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"0,00","383,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","409,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","1.026,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2013,"0,00","1.200,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2014,"0,00","1.275,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2015,"0,00","1.308,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2016,"0,00","677,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2017,"2,00","1.570,00","0,13"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2018,"0,00","1.693,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2019,"0,00","1.607,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2020,"0,00","760,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2021,"0,00","533,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2023,"0,00","811,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2024,"0,00","811,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2009,"0,00","600,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2010,"0,00","438,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2011,"0,00","436,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2012,"0,00","1.036,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2013,"1,00","1.090,00","0,09"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2014,"0,00","1.339,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2015,"0,00","1.333,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2016,"0,00","805,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2017,"2,00","1.456,00","0,14"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2018,"0,00","1.641,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2019,"0,00","1.740,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2020,"0,00","1.009,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2021,"0,00","769,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2023,"0,00","1.066,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2024,"0,00","973,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2009,"0,00","639,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2010,"0,00","560,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2011,"0,00","332,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2012,"0,00","891,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2013,"0,00","883,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2014,"0,00","1.053,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2015,"0,00","1.156,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2016,"0,00","947,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2017,"2,00","1.281,00","0,16"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2018,"0,00","1.429,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2019,"0,00","1.527,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2020,"0,00","1.084,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2021,"0,00","1.057,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2023,"0,00","1.126,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 20 a 24 años,2024,"0,00","936,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2009,"0,00","667,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2010,"0,00","512,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2011,"0,00","485,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2012,"0,00","739,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2013,"1,00","818,00","0,12"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2014,"0,00","907,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2015,"0,00","1.044,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2016,"0,00","852,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2017,"1,00","1.162,00","0,09"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2018,"0,00","1.229,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2019,"0,00","1.332,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2020,"0,00","1.049,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2021,"0,00","1.023,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2023,"0,00","1.049,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 25 a 29 años,2024,"0,00","807,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 30 a 34 años,2009,"0,00","554,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 30 a 34 años,2010,"0,00","537,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 30 a 34 años,2011,"0,00","532,00","0,00"
