Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"4,00","9.970,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"5,00","8.874,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"7,00","8.408,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"14,00","14.056,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"15,00","15.646,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"20,00","17.153,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"22,00","16.387,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"20,00","15.873,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"33,00","20.080,00","0,16"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"56,00","23.752,00","0,24"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"59,00","27.219,00","0,22"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"34,00","20.490,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"62,00","21.747,00","0,29"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"42,00","23.150,00","0,18"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"48,00","25.765,00","0,19"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"34,00","16.790,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"3,00","6.901,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"2,00","5.849,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"4,00","5.863,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"8,00","9.459,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"11,00","10.472,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"21,00","12.088,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"10,00","12.171,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"12,00","11.796,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"21,00","15.185,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"36,00","18.418,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"37,00","20.985,00","0,18"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"32,00","15.260,00","0,21"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"38,00","16.123,00","0,24"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"38,00","16.777,00","0,23"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"32,00","19.267,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"28,00","12.544,00","0,22"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","2.119,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","1.553,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"1,00","1.337,00","0,07"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","2.230,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","2.536,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","2.577,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","2.661,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","2.217,00","0,00"
