Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"1,00","2.957,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"1,00","3.574,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"1,00","3.921,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"2,00","3.435,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"1,00","4.158,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"1,00","3.763,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"2,00","3.444,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"0,00","2.113,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"3,00","3.046,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"3,00","3.649,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"7,00","4.104,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"2,00","1.681,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"0,00","1.134,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"2,00","1.567,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"5,00","2.610,00","0,19"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"3,00","2.812,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"2,00","2.154,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"0,00","2.685,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"1,00","3.105,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"2,00","2.363,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"0,00","3.329,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"1,00","2.808,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"2,00","2.379,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"0,00","1.256,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"3,00","2.190,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"2,00","2.833,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"1,00","2.997,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"0,00","1.213,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"0,00","629,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"1,00","814,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"3,00","1.836,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"3,00","2.171,00","0,14"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","611,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","666,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","641,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","919,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","848,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","668,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","598,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","371,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","492,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","584,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","731,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","307,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","121,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","445,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","425,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","505,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","780,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","955,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","675,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","1.094,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","723,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"0,00","675,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","385,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"0,00","582,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","771,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","749,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","204,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","62,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","399,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","460,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","425,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"0,00","600,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","896,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","911,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2013,"0,00","1.070,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2014,"0,00","850,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2015,"0,00","787,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2016,"0,00","494,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2017,"0,00","534,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2018,"0,00","791,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2019,"0,00","631,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2020,"0,00","154,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2021,"0,00","48,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2023,"0,00","349,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2024,"0,00","396,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2009,"0,00","755,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2010,"0,00","1.036,00","0,00"
