Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"1,00","5.542,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"4,00","5.301,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"4,00","3.096,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"5,00","4.899,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"1,00","5.310,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"8,00","5.333,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"7,00","5.201,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"6,00","3.329,00","0,18"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"11,00","5.710,00","0,19"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"13,00","6.459,00","0,20"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"15,00","7.277,00","0,21"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"6,00","4.349,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"11,00","3.967,00","0,28"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"12,00","5.265,00","0,23"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"11,00","7.188,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"10,00","7.893,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"1,00","3.656,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"1,00","3.244,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"1,00","1.841,00","0,05"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"5,00","3.132,00","0,16"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"1,00","3.364,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"2,00","3.425,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"2,00","3.334,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"1,00","2.140,00","0,05"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"7,00","3.608,00","0,19"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"4,00","4.277,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"9,00","4.893,00","0,18"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"6,00","2.814,00","0,21"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"8,00","2.590,00","0,31"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"10,00","3.344,00","0,30"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"6,00","4.938,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"11,00","5.863,00","0,19"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","939,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","893,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","551,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","872,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","904,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"1,00","891,00","0,11"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","862,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","445,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","848,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","1.003,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"1,00","1.327,00","0,08"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","604,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","418,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","1.071,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","1.014,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","1.079,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","831,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","376,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","677,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","734,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","778,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"0,00","720,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","362,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"0,00","851,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","1.060,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","1.102,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","490,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","366,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","1.108,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","1.239,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","1.011,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"0,00","799,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","351,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","1.074,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2013,"0,00","952,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2014,"0,00","696,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2015,"0,00","686,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2016,"0,00","404,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2017,"0,00","864,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2018,"0,00","992,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2019,"0,00","936,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2020,"0,00","354,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2021,"0,00","313,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2023,"0,00","938,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2024,"0,00","1.105,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2009,"0,00","877,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2010,"0,00","817,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2011,"0,00","425,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2012,"0,00","1.109,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2013,"0,00","940,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2014,"0,00","782,00","0,00"
