Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"27,00","38.304,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"37,00","40.510,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"56,00","40.955,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"55,00","45.233,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"54,00","47.468,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"74,00","50.121,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"85,00","49.985,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"106,00","49.241,00","0,22"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"146,00","57.476,00","0,25"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"192,00","66.850,00","0,29"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"229,00","74.508,00","0,31"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"195,00","60.127,00","0,32"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"236,00","72.659,00","0,32"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"167,00","61.394,00","0,27"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"149,00","62.562,00","0,24"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"204,00","54.169,00","0,38"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"18,00","30.215,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"20,00","30.654,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"33,00","31.442,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"26,00","35.567,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"37,00","36.528,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"44,00","38.711,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"64,00","37.871,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"69,00","38.641,00","0,18"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"84,00","45.204,00","0,19"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"112,00","54.190,00","0,21"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"138,00","60.393,00","0,23"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"109,00","46.387,00","0,24"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"170,00","56.259,00","0,30"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"125,00","44.661,00","0,28"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"101,00","43.624,00","0,23"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"113,00","37.942,00","0,30"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","6.577,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","6.159,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","6.265,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","6.189,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","6.288,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","6.609,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","6.694,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","6.219,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"1,00","7.322,00","0,01"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","8.402,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"1,00","11.210,00","0,01"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","7.997,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","8.328,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"1,00","7.018,00","0,01"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","5.056,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","6.122,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","5.755,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","5.778,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","6.687,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","6.791,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","6.822,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"1,00","6.594,00","0,02"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"1,00","6.648,00","0,02"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"1,00","7.989,00","0,01"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","9.317,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","8.944,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","5.896,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"1,00","7.758,00","0,01"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","6.100,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","4.750,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","6.065,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"1,00","5.483,00","0,02"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","5.750,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","6.220,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2013,"0,00","6.633,00","0,00"
