Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"4,00","3.345,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"1,00","3.766,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"1,00","3.181,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"3,00","3.723,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"6,00","4.153,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"7,00","4.357,00","0,16"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"2,00","4.184,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"5,00","3.725,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"4,00","4.011,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"2,00","4.506,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"3,00","5.327,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"2,00","2.498,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"3,00","2.165,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"4,00","2.477,00","0,16"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"4,00","3.632,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"6,00","4.090,00","0,15"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"2,00","2.362,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"0,00","2.489,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"0,00","2.237,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"2,00","2.716,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"1,00","2.758,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"3,00","3.189,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"4,00","2.917,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"3,00","2.479,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"3,00","2.878,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"0,00","3.373,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"1,00","3.793,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"1,00","1.776,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"0,00","1.335,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"2,00","1.623,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"1,00","2.675,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"4,00","3.248,00","0,12"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","603,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","698,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","625,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","697,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","750,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","753,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","766,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","681,00","0,00"
