Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"1,00","2.219,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"1,00","2.046,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"1,00","1.414,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"1,00","1.667,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"2,00","1.825,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"2,00","1.777,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"0,00","1.611,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"1,00","714,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"0,00","1.624,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"0,00","2.124,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"6,00","2.645,00","0,23"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"1,00","1.278,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"0,00","785,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"2,00","1.211,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"3,00","2.064,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"3,00","2.137,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","1.546,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"0,00","1.360,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"0,00","935,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"0,00","1.057,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"1,00","1.179,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"4,00","1.229,00","0,33"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"2,00","955,00","0,21"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"1,00","331,00","0,30"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"0,00","1.085,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"0,00","1.439,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"1,00","1.859,00","0,05"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"0,00","767,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"0,00","439,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"4,00","720,00","0,56"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"1,00","1.309,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"4,00","1.506,00","0,27"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","538,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","451,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","272,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","305,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","403,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","383,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","344,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","63,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","232,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","386,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","554,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","235,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","95,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","374,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","350,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","436,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","327,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","259,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","284,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","333,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","333,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"0,00","264,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","39,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"0,00","212,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","377,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","500,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","181,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","60,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","382,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","373,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","412,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"0,00","361,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","210,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","241,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2013,"0,00","301,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2014,"0,00","246,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2015,"0,00","166,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2016,"0,00","64,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2017,"0,00","256,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2018,"0,00","371,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2019,"0,00","419,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2020,"0,00","129,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2021,"0,00","51,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2023,"0,00","243,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2024,"0,00","314,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2009,"0,00","433,00","0,00"
