Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"1,00","1.484,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"1,00","1.674,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"0,00","1.274,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"1,00","2.841,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"1,00","3.470,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"5,00","4.083,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"5,00","3.761,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"2,00","1.583,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"5,00","4.253,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"5,00","5.395,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"10,00","5.963,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"4,00","3.176,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"5,00","2.516,00","0,20"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"3,00","3.530,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"5,00","5.201,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"5,00","5.491,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","1.069,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"0,00","1.176,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"2,00","882,00","0,23"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"0,00","1.752,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"1,00","2.225,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"4,00","2.877,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"3,00","2.544,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"1,00","1.115,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"1,00","3.156,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"3,00","4.145,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"2,00","4.478,00","0,04"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"2,00","2.307,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"1,00","1.694,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"2,00","2.473,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"4,00","3.874,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"2,00","4.202,00","0,05"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","560,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","469,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","314,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","653,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","739,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","877,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","774,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","225,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","800,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","1.063,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","1.204,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","644,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","293,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","913,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","831,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","423,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","362,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","257,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","440,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","652,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"2,00","815,00","0,25"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"1,00","718,00","0,14"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","146,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"0,00","790,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","1.223,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","1.110,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","421,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","262,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","916,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","930,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","293,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"0,00","295,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","182,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","444,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2013,"0,00","604,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2014,"0,00","744,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2015,"1,00","582,00","0,17"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2016,"0,00","249,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2017,"0,00","907,00","0,00"
