Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"3,00","5.522,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"1,00","5.218,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"0,00","4.774,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"2,00","4.995,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"4,00","4.727,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"4,00","4.635,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"1,00","4.808,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"2,00","2.613,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"7,00","4.578,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"5,00","5.588,00","0,09"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"5,00","6.389,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"1,00","3.964,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"7,00","2.899,00","0,24"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"9,00","3.774,00","0,24"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"8,00","5.805,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"11,00","5.724,00","0,19"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","4.211,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"3,00","3.714,00","0,08"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"0,00","3.246,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"0,00","3.545,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"2,00","3.164,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"1,00","3.317,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"1,00","3.241,00","0,03"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"1,00","1.543,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"2,00","3.228,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"4,00","4.167,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"5,00","4.802,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"5,00","2.802,00","0,18"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"2,00","1.741,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"5,00","2.459,00","0,20"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"10,00","4.221,00","0,24"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"5,00","4.289,00","0,12"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","1.058,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","977,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","883,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","795,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","698,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","699,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","700,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","297,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","633,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","781,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","1.037,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","653,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","285,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","907,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","792,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","1.187,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","1.018,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","924,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","898,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","799,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"1,00","815,00","0,12"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"0,00","793,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","254,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"0,00","661,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","944,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","967,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","496,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","251,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","1.082,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","951,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","1.250,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"0,00","1.051,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","1.060,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","1.217,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2013,"0,00","864,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2014,"0,00","875,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2015,"0,00","818,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2016,"0,00","257,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2017,"0,00","779,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2018,"0,00","1.083,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2019,"0,00","1.053,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2020,"0,00","448,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2021,"0,00","187,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2023,"0,00","856,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2024,"0,00","812,00","0,00"
