Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"1,00","2.293,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"2,00","1.761,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"0,00","1.311,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"0,00","4.896,00","0,00"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"1,00","5.950,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"7,00","5.928,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"4,00","5.093,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"2,00","4.128,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"2,00","2.934,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"11,00","6.185,00","0,18"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"10,00","7.192,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"4,00","3.194,00","0,13"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"6,00","2.836,00","0,21"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"19,00","4.224,00","0,45"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"11,00","5.302,00","0,21"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"17,00","5.995,00","0,28"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","1.377,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"1,00","1.169,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"1,00","754,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"0,00","2.821,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"5,00","4.137,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"4,00","4.247,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"7,00","3.169,00","0,22"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"0,00","2.408,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"1,00","1.676,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"10,00","4.855,00","0,21"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"10,00","5.297,00","0,19"
