Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"4,00","4.146,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"4,00","3.741,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"2,00","2.809,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"3,00","5.453,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"7,00","8.268,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"7,00","8.992,00","0,08"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"6,00","9.161,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"10,00","6.605,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"19,00","10.891,00","0,17"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"18,00","12.510,00","0,14"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"22,00","14.072,00","0,16"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"20,00","8.238,00","0,24"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"26,00","9.374,00","0,28"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"25,00","9.427,00","0,27"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"24,00","10.708,00","0,22"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"19,00","11.292,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"0,00","2.830,00","0,00"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"3,00","2.334,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"2,00","1.847,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"4,00","3.218,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"6,00","5.242,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"8,00","5.921,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"7,00","6.092,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"11,00","4.203,00","0,26"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"10,00","7.258,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"15,00","8.857,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"12,00","9.511,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"9,00","4.969,00","0,18"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"6,00","5.705,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"17,00","5.960,00","0,29"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"13,00","7.693,00","0,17"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"20,00","8.130,00","0,25"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","1.268,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","833,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","483,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","1.027,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","1.577,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","1.778,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","1.772,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","1.134,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","1.957,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","2.283,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","2.889,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","1.551,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","1.699,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","1.888,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","1.863,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","891,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","588,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","365,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"0,00","741,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2013,"0,00","1.579,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2014,"0,00","1.534,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2015,"0,00","1.621,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2016,"0,00","996,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2017,"0,00","1.923,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2018,"0,00","2.667,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2019,"0,00","2.528,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2020,"0,00","949,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2021,"0,00","1.127,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2023,"0,00","1.710,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2024,"0,00","2.008,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2009,"0,00","670,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2010,"0,00","369,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2011,"0,00","306,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2012,"0,00","784,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2013,"0,00","1.317,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2014,"0,00","1.705,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2015,"0,00","1.485,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2016,"0,00","905,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2017,"0,00","2.052,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2018,"0,00","2.563,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2019,"1,00","2.436,00","0,04"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2020,"0,00","735,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2021,"0,00","811,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2023,"0,00","1.565,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 10 a 14 años,2024,"0,00","1.784,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2009,"0,00","514,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2010,"0,00","345,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2011,"0,00","286,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2012,"0,00","803,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2013,"0,00","1.231,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 15 a 19 años,2014,"0,00","1.644,00","0,00"
