Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2009,"4,00","12.087,00","0,03"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2010,"6,00","12.406,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2011,"2,00","9.906,00","0,02"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2012,"5,00","12.050,00","0,04"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2013,"8,00","12.741,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2014,"8,00","12.244,00","0,07"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2015,"6,00","11.477,00","0,05"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2016,"4,00","6.960,00","0,06"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2017,"12,00","11.438,00","0,10"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2018,"20,00","13.092,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2019,"18,00","15.141,00","0,12"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2020,"9,00","8.291,00","0,11"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2021,"8,00","5.465,00","0,15"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2022,"12,00","7.628,00","0,16"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2023,"23,00","11.772,00","0,20"
Porcentaje de personas atendidas por demencia,Femenino,TOTAL,2024,"25,00","12.958,00","0,19"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2009,"1,00","8.399,00","0,01"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2010,"7,00","7.985,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2011,"8,00","6.285,00","0,13"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2012,"8,00","7.939,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2013,"5,00","8.477,00","0,06"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2014,"9,00","8.460,00","0,11"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2015,"7,00","7.920,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2016,"3,00","4.260,00","0,07"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2017,"10,00","8.366,00","0,12"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2018,"18,00","9.795,00","0,18"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2019,"11,00","11.106,00","0,10"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2020,"5,00","5.840,00","0,09"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2021,"5,00","3.612,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2022,"14,00","5.047,00","0,28"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2023,"12,00","8.329,00","0,14"
Porcentaje de personas atendidas por demencia,Masculino,TOTAL,2024,"12,00","9.731,00","0,12"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2009,"0,00","3.083,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2010,"0,00","2.702,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2011,"0,00","2.007,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2012,"0,00","2.249,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2013,"0,00","2.059,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2014,"0,00","1.962,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2015,"0,00","1.703,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2016,"0,00","650,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2017,"0,00","1.552,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2018,"0,00","1.810,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2019,"0,00","2.410,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2020,"0,00","1.399,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2021,"0,00","625,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2022,,,
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2023,"0,00","1.935,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 0 a 04 años,2024,"0,00","1.815,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2009,"0,00","3.143,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2010,"0,00","2.573,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2011,"0,00","2.290,00","0,00"
Porcentaje de personas atendidas por demencia,Total,De 05 a 09 años,2012,"1,00","2.657,00","0,04"
