Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,1,751,"10,95"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,1,550,"11,98"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,1,525,"14,50"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,2,1.458,"22,68"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,1,514,"14,81"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,1,735,"11,70"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,1,695,"12,19"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,1,607,"9,95"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,1,853,"10,08"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,1,732,"10,83"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,1,782,"10,14"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,1,529,"7,03"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,4,2.602,"40,72"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,1,787,"10,44"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,1,621,"12,25"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,1,656,"6,94"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,1,680,"6,69"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,1,837,"10,12"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,1,1.567,"5,25"
