Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,1,602,"13,65"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,1,592,"14,31"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,1,623,"13,80"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,1,542,"15,17"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,1,401,"11,35"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,1,556,"14,78"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,1,336,"21,28"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,1,419,"18,93"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,1,452,"10,07"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,1,396,"7,47"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,1,471,"16,84"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,2,779,"26,28"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,1,424,"10,73"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,2,923,"28,71"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,1,762,"5,97"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2010,1,1.142,"7,20"
