Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,1,1.007,"6,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,1,1.717,"4,62"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,1,2.365,"3,58"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,1,463,"6,39"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,2,4.470,"7,24"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,2,2.518,"6,51"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,1,1.846,"3,27"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,3,5.207,"9,25"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,1,2.640,"3,11"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,2,5.051,"5,86"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,4,4.327,"20,55"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,8,6.520,"30,62"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,2,2.294,"7,17"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,2,4.895,"6,82"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,1,2.453,"3,45"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,1,2.487,"3,31"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,4,5.442,"15,87"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,3,4.011,"14,78"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,2,2.650,"9,50"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,6,8.188,"25,07"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,7,7.952,"23,71"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,5,11.338,"15,75"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,5,8.737,"14,93"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,9,13.224,"29,06"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,2,4.418,"6,20"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,3,7.330,"8,75"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
