Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,1,1.715,"4,44"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,1,1.414,"4,27"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,3,4.279,"11,55"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,1,1.979,"4,28"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,1,2.340,"3,51"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,1,1.029,"2,15"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,2,3.970,"8,49"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,3,3.283,"17,11"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,4,4.565,"18,48"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,3,4.128,"11,59"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,7,6.443,"32,96"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,3,4.070,"11,45"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,2,3.242,"8,49"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,3,2.317,"10,64"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,4,5.963,"15,52"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,1,2.254,"3,76"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,3,6.339,"10,79"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,4,8.820,"12,98"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,6,7.303,"18,67"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,4,7.018,"13,03"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,1,2.135,"3,09"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,5,4.739,"15,33"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
