Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,1,2.107,"3,76"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,2,2.626,"8,95"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,2,2.432,"6,97"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,1,2.547,"3,23"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,1,1.520,"1,95"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,4,8.215,"11,55"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,1,2.820,"2,54"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,2,5.230,"5,22"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,3,4.822,"12,88"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,2,2.828,"9,27"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,2,2.554,"6,63"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,5,10.880,"18,06"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,7,8.553,"23,83"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,4,7.476,"15,06"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,3,5.574,"11,46"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,4,4.330,"13,29"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,4,3.579,"16,84"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,6,12.994,"17,62"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,7,10.114,"18,04"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,2,5.574,"5,91"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,5,12.104,"13,94"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,4,10.226,"10,36"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,7,13.025,"17,30"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
