Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,1,994,"5,40"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,2,4.575,"7,18"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,1,1.343,"4,50"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,1,2.337,"3,39"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,1,1.537,"4,29"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,3,5.428,"9,65"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,1,2.586,"3,28"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,1,2.563,"3,30"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,1,2.784,"2,57"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,1,1.717,"4,43"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,1,804,"5,66"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,1,2.820,"3,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,1,629,"5,91"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,3,3.908,"10,64"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,3,6.312,"11,09"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,2,5.003,"6,55"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,1,2.521,"3,36"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,7,12.343,"25,04"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,4,9.173,"12,04"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,1,2.993,"2,75"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,4,10.219,"10,90"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,1,1.922,"3,14"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,1,2.787,"2,95"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
