Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,1,417,"20,31"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,1,438,"19,63"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,1,890,"9,24"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,2,1.585,"20,65"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,3,1.839,"34,82"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,1,557,"12,84"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,3,2.228,"31,96"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,4,1.218,"84,78"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,1,438,"19,34"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2011,1,1.650,"4,98"
