Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,1,516,"13,86"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,2,686,"23,97"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,1,487,"13,53"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,1,272,"13,68"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,1,718,"11,45"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,1,327,"4,62"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,1,824,"9,98"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,1,466,"15,34"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,2,1.557,"21,63"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,1,208,"14,23"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,1,353,"15,21"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,2,836,"29,03"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,2,543,"27,32"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,2,937,"30,44"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,3,891,"46,36"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,2,1.352,"17,33"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,1,797,"9,95"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,1,837,"9,82"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,1,673,"8,97"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,5,3.575,"46,67"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,1,992,"7,21"
