Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,1,5.153,"1,64"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,2,8.337,"3,39"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,2,10.116,"3,19"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,1,5.217,"1,58"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,3,10.638,"5,47"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,1,4.888,"1,46"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,3,10.482,"4,60"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,6,23.461,"7,72"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,3,15.295,"5,04"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,3,16.552,"3,64"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,2,5.784,"2,47"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,2,5.955,"2,40"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,6,17.603,"12,06"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,7,19.418,"11,52"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,4,10.415,"6,16"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,6,21.661,"10,22"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,8,22.471,"13,06"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,10,36.752,"16,71"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,8,24.780,"12,79"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,6,19.723,"9,37"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,10,22.733,"15,56"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,9,30.589,"14,35"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,10,35.090,"12,88"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,8,29.831,"9,73"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,4,19.127,"5,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,13,32.848,"15,80"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,8,24.229,"9,93"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,10,42.363,"12,76"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
