Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,1,456,"11,78"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,1,661,"12,44"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,2,1.093,"30,21"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,1,194,"7,78"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,1,623,"13,19"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,2,1.061,"28,41"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,1,420,"8,86"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,1,470,"11,43"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,1,385,"7,69"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2010,1,1.256,"6,54"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2011,,,
