Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,1,419,"20,21"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,1,294,"20,54"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,1,556,"14,78"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,1,320,"18,88"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,1,264,"17,23"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,2,784,"36,88"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,3,875,"48,90"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,1,466,"15,34"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,1,357,"16,92"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,1,564,"10,71"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2011,,,
