Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,1,308,"14,77"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,1,501,"15,83"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,1,403,"9,23"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,2,707,"33,75"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,3,1.787,"41,86"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,2,510,"36,10"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,4,1.231,"53,79"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,1,495,"16,02"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,1,659,"13,05"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,1,553,"13,76"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,1,331,"8,94"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,1,493,"13,37"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,1,224,"6,74"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,2,1.446,"16,53"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2010,,,
