Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,1,686,"11,56"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,1,837,"9,82"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,1,847,"9,36"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,1,849,"9,34"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,5,2.252,"57,40"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,1,835,"9,84"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,1,920,"9,21"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,4,1.714,"44,70"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,1,422,"10,78"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,1,505,"13,05"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,2,1.165,"25,35"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,2,801,"19,00"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,4,1.930,"32,27"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,1,483,"6,13"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,3,2.334,"23,26"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,1,940,"8,10"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,5,4.551,"27,02"
