Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,1,1.237,"6,85"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,2,2.189,"14,50"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,2,1.921,"14,62"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,1,917,"7,19"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,2,1.800,"15,16"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,1,1.187,"7,25"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,2,1.209,"14,01"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,3,2.515,"19,56"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,4,2.543,"27,40"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,1,909,"6,64"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,2,2.490,"12,05"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,2,2.731,"11,83"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,1,1.201,"5,95"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2009,1,1.919,"3,43"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2010,,,
