Indicador1,sexo,Ano,Numerador1,Denominador,Valor1
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2009,1,1.379,"5,75"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2010,2,2.071,"8,18"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2011,1,2.001,"4,23"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2012,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2013,1,1.100,"5,49"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2014,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2015,1,1.554,"5,53"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2016,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2017,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2018,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2019,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2020,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2021,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2022,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2023,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Femenino,2024,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2008,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2009,3,2.495,"19,65"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2010,4,3.966,"17,46"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2011,1,1.056,"5,72"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2012,2,2.482,"11,27"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2013,1,887,"6,05"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2014,2,3.283,"10,02"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2015,4,3.182,"22,67"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2016,1,1.589,"4,99"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2017,3,2.463,"18,13"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2018,3,2.773,"18,65"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2019,1,1.014,"5,96"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2020,2,1.780,"10,40"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2021,3,2.898,"15,15"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2022,3,3.737,"15,98"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2023,4,3.962,"20,99"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Masculino,2024,4,5.598,"21,98"
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2005,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2006,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2007,,,
Tasa ajustada de mortalidad por lesiones autoinflingidas intencionalmente,Total,2008,,,
