Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","9.693,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","9.645,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","9.609,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","9.565,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"1,00","9.524,00","10,50"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","9.480,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","9.440,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"15,00","9.398,00","159,61"
Tasa de intento de suicidio,Femenino,Total,2017,"30,00","9.354,00","320,72"
Tasa de intento de suicidio,Femenino,Total,2018,"27,00","9.307,00","290,10"
Tasa de intento de suicidio,Femenino,Total,2019,"19,00","9.748,00","194,91"
Tasa de intento de suicidio,Femenino,Total,2020,"18,00","9.729,00","185,01"
Tasa de intento de suicidio,Femenino,Total,2021,"11,00","9.858,00","111,58"
Tasa de intento de suicidio,Femenino,Total,2022,"24,00","10.088,00","237,91"
Tasa de intento de suicidio,Femenino,Total,2023,"32,00","10.160,00","314,96"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","10.160,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","10.105,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"1,00","10.063,00","9,94"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","10.005,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"1,00","9.954,00","10,05"
Tasa de intento de suicidio,Masculino,Total,2014,"1,00","9.902,00","10,10"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","9.850,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"6,00","9.797,00","61,24"
Tasa de intento de suicidio,Masculino,Total,2017,"11,00","9.742,00","112,91"
Tasa de intento de suicidio,Masculino,Total,2018,"15,00","9.684,00","154,89"
Tasa de intento de suicidio,Masculino,Total,2019,"17,00","10.510,00","161,75"
Tasa de intento de suicidio,Masculino,Total,2020,"12,00","10.558,00","113,66"
Tasa de intento de suicidio,Masculino,Total,2021,"9,00","10.744,00","83,77"
Tasa de intento de suicidio,Masculino,Total,2022,"10,00","11.021,00","90,74"
Tasa de intento de suicidio,Masculino,Total,2023,"23,00","11.137,00","206,52"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","1.797,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","1.780,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","1.765,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","1.756,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","1.745,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","1.737,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","1.731,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","1.722,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","1.711,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","1.699,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","1.306,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","1.291,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","1.279,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","1.246,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","1.219,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","1.800,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","1.759,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","1.721,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","1.692,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","1.665,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","1.644,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","1.626,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","1.620,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"2,00","1.613,00","123,99"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"1,00","1.607,00","62,23"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","1.450,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","1.439,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","1.444,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","1.441,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"1,00","1.437,00","69,59"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","1.817,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","1.769,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"0,00","1.726,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"0,00","1.684,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"0,00","1.646,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"0,00","1.608,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"0,00","1.576,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"8,00","1.550,00","516,13"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"9,00","1.532,00","587,47"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"10,00","1.515,00","660,07"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"2,00","1.624,00","123,15"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"2,00","1.607,00","124,46"
Tasa de intento de suicidio,Total,De 10 a 14 años,2021,"1,00","1.614,00","61,96"
Tasa de intento de suicidio,Total,De 10 a 14 años,2022,"7,00","1.575,00","444,44"
Tasa de intento de suicidio,Total,De 10 a 14 años,2023,"13,00","1.567,00","829,61"
Tasa de intento de suicidio,Total,De 15 a 19 años,2009,"0,00","1.820,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2010,"0,00","1.786,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2011,"0,00","1.750,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2012,"0,00","1.708,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2013,"1,00","1.662,00","60,17"
Tasa de intento de suicidio,Total,De 15 a 19 años,2014,"0,00","1.617,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2015,"0,00","1.576,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2016,"7,00","1.535,00","456,03"
Tasa de intento de suicidio,Total,De 15 a 19 años,2017,"10,00","1.502,00","665,78"
Tasa de intento de suicidio,Total,De 15 a 19 años,2018,"12,00","1.474,00","814,11"
Tasa de intento de suicidio,Total,De 15 a 19 años,2019,"7,00","1.650,00","424,24"
Tasa de intento de suicidio,Total,De 15 a 19 años,2020,"7,00","1.622,00","431,57"
Tasa de intento de suicidio,Total,De 15 a 19 años,2021,"9,00","1.616,00","556,93"
Tasa de intento de suicidio,Total,De 15 a 19 años,2022,"9,00","1.556,00","578,41"
Tasa de intento de suicidio,Total,De 15 a 19 años,2023,"9,00","1.532,00","587,47"
Tasa de intento de suicidio,Total,De 20 a 24 años,2009,"0,00","1.567,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2010,"0,00","1.627,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2011,"0,00","1.661,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2012,"0,00","1.667,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2013,"0,00","1.653,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2014,"1,00","1.626,00","61,50"
Tasa de intento de suicidio,Total,De 20 a 24 años,2015,"0,00","1.599,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2016,"1,00","1.562,00","64,02"
Tasa de intento de suicidio,Total,De 20 a 24 años,2017,"6,00","1.523,00","393,96"
Tasa de intento de suicidio,Total,De 20 a 24 años,2018,"5,00","1.482,00","337,38"
Tasa de intento de suicidio,Total,De 20 a 24 años,2019,"7,00","1.435,00","487,80"
Tasa de intento de suicidio,Total,De 20 a 24 años,2020,"4,00","1.417,00","282,29"
Tasa de intento de suicidio,Total,De 20 a 24 años,2021,"4,00","1.417,00","282,29"
Tasa de intento de suicidio,Total,De 20 a 24 años,2022,"3,00","1.399,00","214,44"
Tasa de intento de suicidio,Total,De 20 a 24 años,2023,"7,00","1.372,00","510,20"
Tasa de intento de suicidio,Total,De 25 a 29 años,2009,"0,00","1.086,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2010,"0,00","1.097,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2011,"0,00","1.147,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2012,"0,00","1.226,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2013,"1,00","1.324,00","75,53"
Tasa de intento de suicidio,Total,De 25 a 29 años,2014,"0,00","1.408,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2015,"0,00","1.462,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2016,"2,00","1.490,00","134,23"
Tasa de intento de suicidio,Total,De 25 a 29 años,2017,"2,00","1.493,00","133,96"
Tasa de intento de suicidio,Total,De 25 a 29 años,2018,"2,00","1.477,00","135,41"
Tasa de intento de suicidio,Total,De 25 a 29 años,2019,"8,00","1.239,00","645,68"
Tasa de intento de suicidio,Total,De 25 a 29 años,2020,"5,00","1.235,00","404,86"
Tasa de intento de suicidio,Total,De 25 a 29 años,2021,"3,00","1.244,00","241,16"
Tasa de intento de suicidio,Total,De 25 a 29 años,2022,"4,00","1.318,00","303,49"
Tasa de intento de suicidio,Total,De 25 a 29 años,2023,"9,00","1.317,00","683,37"
Tasa de intento de suicidio,Total,De 30 a 34 años,2009,"0,00","1.166,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2010,"0,00","1.153,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2011,"1,00","1.124,00","88,97"
Tasa de intento de suicidio,Total,De 30 a 34 años,2012,"0,00","1.076,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2013,"0,00","1.026,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2014,"0,00","1.000,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2015,"0,00","1.012,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2016,"1,00","1.056,00","94,70"
Tasa de intento de suicidio,Total,De 30 a 34 años,2017,"2,00","1.127,00","177,46"
Tasa de intento de suicidio,Total,De 30 a 34 años,2018,"3,00","1.215,00","246,91"
Tasa de intento de suicidio,Total,De 30 a 34 años,2019,"2,00","1.243,00","160,90"
Tasa de intento de suicidio,Total,De 30 a 34 años,2020,"2,00","1.240,00","161,29"
Tasa de intento de suicidio,Total,De 30 a 34 años,2021,"1,00","1.259,00","79,43"
Tasa de intento de suicidio,Total,De 30 a 34 años,2022,"2,00","1.366,00","146,41"
Tasa de intento de suicidio,Total,De 30 a 34 años,2023,"4,00","1.394,00","286,94"
Tasa de intento de suicidio,Total,De 35 a 39 años,2009,"0,00","1.079,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2010,"0,00","1.068,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2011,"0,00","1.069,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2012,"0,00","1.086,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2013,"0,00","1.104,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2014,"0,00","1.111,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2015,"0,00","1.101,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2016,"1,00","1.072,00","93,28"
Tasa de intento de suicidio,Total,De 35 a 39 años,2017,"3,00","1.024,00","292,97"
Tasa de intento de suicidio,Total,De 35 a 39 años,2018,"2,00","974,00","205,34"
Tasa de intento de suicidio,Total,De 35 a 39 años,2019,"4,00","1.412,00","283,29"
Tasa de intento de suicidio,Total,De 35 a 39 años,2020,"4,00","1.409,00","283,89"
Tasa de intento de suicidio,Total,De 35 a 39 años,2021,"0,00","1.419,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2022,"2,00","1.515,00","132,01"
Tasa de intento de suicidio,Total,De 35 a 39 años,2023,"2,00","1.538,00","130,04"
Tasa de intento de suicidio,Total,De 40 a 44 años,2009,"0,00","1.198,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2010,"0,00","1.159,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2011,"0,00","1.124,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2012,"0,00","1.087,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2013,"0,00","1.058,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2014,"0,00","1.038,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2015,"0,00","1.027,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2016,"0,00","1.029,00","0,00"
Tasa de intento de suicidio,Total,De 40 a 44 años,2017,"3,00","1.041,00","288,18"
Tasa de intento de suicidio,Total,De 40 a 44 años,2018,"1,00","1.059,00","94,43"
Tasa de intento de suicidio,Total,De 40 a 44 años,2019,"2,00","1.354,00","147,71"
Tasa de intento de suicidio,Total,De 40 a 44 años,2020,"2,00","1.376,00","145,35"
Tasa de intento de suicidio,Total,De 40 a 44 años,2021,"2,00","1.423,00","140,55"
Tasa de intento de suicidio,Total,De 40 a 44 años,2022,"2,00","1.543,00","129,62"
Tasa de intento de suicidio,Total,De 40 a 44 años,2023,"1,00","1.588,00","62,97"
Tasa de intento de suicidio,Total,De 45 a 49 años,2009,"0,00","1.350,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2010,"0,00","1.300,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2011,"0,00","1.257,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2012,"0,00","1.213,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2013,"0,00","1.173,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2014,"0,00","1.136,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2015,"0,00","1.101,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2016,"0,00","1.064,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2017,"0,00","1.032,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2018,"1,00","1.003,00","99,70"
Tasa de intento de suicidio,Total,De 45 a 49 años,2019,"1,00","1.232,00","81,17"
Tasa de intento de suicidio,Total,De 45 a 49 años,2020,"2,00","1.215,00","164,61"
Tasa de intento de suicidio,Total,De 45 a 49 años,2021,"0,00","1.219,00","0,00"
Tasa de intento de suicidio,Total,De 45 a 49 años,2022,"1,00","1.261,00","79,30"
Tasa de intento de suicidio,Total,De 45 a 49 años,2023,"2,00","1.288,00","155,28"
Tasa de intento de suicidio,Total,De 50 a 54 años,2009,"0,00","1.384,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2010,"0,00","1.380,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2011,"0,00","1.368,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2012,"0,00","1.337,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2013,"0,00","1.296,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2014,"0,00","1.250,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2015,"0,00","1.207,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2016,"0,00","1.163,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2017,"1,00","1.125,00","88,89"
Tasa de intento de suicidio,Total,De 50 a 54 años,2018,"2,00","1.086,00","184,16"
Tasa de intento de suicidio,Total,De 50 a 54 años,2019,"2,00","1.257,00","159,11"
Tasa de intento de suicidio,Total,De 50 a 54 años,2020,"2,00","1.239,00","161,42"
Tasa de intento de suicidio,Total,De 50 a 54 años,2021,"0,00","1.234,00","0,00"
Tasa de intento de suicidio,Total,De 50 a 54 años,2022,"2,00","1.220,00","163,93"
Tasa de intento de suicidio,Total,De 50 a 54 años,2023,"1,00","1.203,00","83,13"
Tasa de intento de suicidio,Total,De 55 a 59 años,2009,"0,00","1.092,00","0,00"
Tasa de intento de suicidio,Total,De 55 a 59 años,2010,"0,00","1.132,00","0,00"
Tasa de intento de suicidio,Total,De 55 a 59 años,2011,"0,00","1.171,00","0,00"
Tasa de intento de suicidio,Total,De 55 a 59 años,2012,"0,00","1.205,00","0,00"
Tasa de intento de suicidio,Total,De 55 a 59 años,2013,"0,00","1.235,00","0,00"
Tasa de intento de suicidio,Total,De 55 a 59 años,2014,"0,00","1.252,00","0,00"
Tasa de intento de suicidio,Total,De 55 a 59 años,2015,"0,00","1.251,00","0,00"
Tasa de intento de suicidio,Total,De 55 a 59 años,2016,"0,00","1.238,00","0,00"
Tasa de intento de suicidio,Total,De 55 a 59 años,2017,"1,00","1.209,00","82,71"
Tasa de intento de suicidio,Total,De 55 a 59 años,2018,"1,00","1.169,00","85,54"
