Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","1.834,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","1.816,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","1.803,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","1.777,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","1.768,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","1.746,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","1.727,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"2,00","1.714,00","116,69"
Tasa de intento de suicidio,Femenino,Total,2017,"1,00","1.691,00","59,14"
Tasa de intento de suicidio,Femenino,Total,2018,"0,00","1.679,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2019,"2,00","2.345,00","85,29"
Tasa de intento de suicidio,Femenino,Total,2020,"1,00","2.360,00","42,37"
Tasa de intento de suicidio,Femenino,Total,2021,"2,00","2.397,00","83,44"
Tasa de intento de suicidio,Femenino,Total,2022,"2,00","2.456,00","81,43"
Tasa de intento de suicidio,Femenino,Total,2023,"3,00","2.468,00","121,56"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","1.854,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","1.836,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","1.815,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","1.798,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","1.782,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","1.756,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","1.739,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"0,00","1.721,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2017,"0,00","1.702,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2018,"0,00","1.682,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2019,"0,00","2.324,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2020,"1,00","2.338,00","42,77"
Tasa de intento de suicidio,Masculino,Total,2021,"1,00","2.374,00","42,12"
Tasa de intento de suicidio,Masculino,Total,2022,"1,00","2.418,00","41,36"
Tasa de intento de suicidio,Masculino,Total,2023,"0,00","2.444,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","254,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","258,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","252,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","247,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","245,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","241,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","235,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","235,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","232,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","226,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","424,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","420,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","418,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","409,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","397,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","286,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","266,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","254,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","246,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","241,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","239,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","242,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","236,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","235,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","232,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","388,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","386,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","388,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","388,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","387,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","339,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","324,00","0,00"
