Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","4.572,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","4.524,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","4.449,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","4.385,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","4.300,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","4.228,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","4.144,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"3,00","4.083,00","73,48"
Tasa de intento de suicidio,Femenino,Total,2017,"1,00","4.003,00","24,98"
Tasa de intento de suicidio,Femenino,Total,2018,"3,00","3.939,00","76,16"
Tasa de intento de suicidio,Femenino,Total,2019,"0,00","3.676,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2020,"2,00","3.659,00","54,66"
Tasa de intento de suicidio,Femenino,Total,2021,"1,00","3.717,00","26,90"
Tasa de intento de suicidio,Femenino,Total,2022,"2,00","3.848,00","51,98"
Tasa de intento de suicidio,Femenino,Total,2023,"5,00","3.884,00","128,73"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","4.941,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","4.858,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","4.791,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","4.723,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","4.668,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","4.609,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","4.555,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"0,00","4.495,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2017,"0,00","4.423,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2018,"1,00","4.367,00","22,90"
Tasa de intento de suicidio,Masculino,Total,2019,"3,00","3.901,00","76,90"
Tasa de intento de suicidio,Masculino,Total,2020,"1,00","3.886,00","25,73"
Tasa de intento de suicidio,Masculino,Total,2021,"2,00","3.945,00","50,70"
Tasa de intento de suicidio,Masculino,Total,2022,"1,00","4.055,00","24,66"
