Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","7.582,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","7.551,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","7.548,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","7.539,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"1,00","7.533,00","13,27"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","7.528,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","7.518,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"1,00","7.514,00","13,31"
Tasa de intento de suicidio,Femenino,Total,2017,"3,00","7.498,00","40,01"
Tasa de intento de suicidio,Femenino,Total,2018,"5,00","7.487,00","66,78"
Tasa de intento de suicidio,Femenino,Total,2019,"8,00","7.651,00","104,56"
Tasa de intento de suicidio,Femenino,Total,2020,"9,00","7.540,00","119,36"
Tasa de intento de suicidio,Femenino,Total,2021,"7,00","7.645,00","91,56"
Tasa de intento de suicidio,Femenino,Total,2022,"7,00","8.218,00","85,18"
Tasa de intento de suicidio,Femenino,Total,2023,"5,00","8.302,00","60,23"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","7.486,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","7.490,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","7.487,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","7.474,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","7.477,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","7.453,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","7.454,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"3,00","7.450,00","40,27"
Tasa de intento de suicidio,Masculino,Total,2017,"4,00","7.447,00","53,71"
Tasa de intento de suicidio,Masculino,Total,2018,"3,00","7.437,00","40,34"
Tasa de intento de suicidio,Masculino,Total,2019,"4,00","7.391,00","54,12"
Tasa de intento de suicidio,Masculino,Total,2020,"5,00","7.293,00","68,56"
Tasa de intento de suicidio,Masculino,Total,2021,"2,00","7.418,00","26,96"
Tasa de intento de suicidio,Masculino,Total,2022,"2,00","7.983,00","25,05"
Tasa de intento de suicidio,Masculino,Total,2023,"1,00","8.088,00","12,36"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","1.339,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","1.335,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","1.326,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","1.316,00","0,00"
