Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"1,00","2.010,00","49,75"
Tasa de intento de suicidio,Femenino,Total,2010,"1,00","1.957,00","51,10"
Tasa de intento de suicidio,Femenino,Total,2011,"1,00","1.899,00","52,66"
Tasa de intento de suicidio,Femenino,Total,2012,"1,00","1.853,00","53,97"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","1.801,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","1.753,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","1.696,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"2,00","1.646,00","121,51"
Tasa de intento de suicidio,Femenino,Total,2017,"3,00","1.607,00","186,68"
Tasa de intento de suicidio,Femenino,Total,2018,"1,00","1.561,00","64,06"
Tasa de intento de suicidio,Femenino,Total,2019,"4,00","2.307,00","173,39"
Tasa de intento de suicidio,Femenino,Total,2020,"4,00","2.300,00","173,91"
Tasa de intento de suicidio,Femenino,Total,2021,"0,00","2.331,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2022,"3,00","2.398,00","125,10"
Tasa de intento de suicidio,Femenino,Total,2023,"1,00","2.420,00","41,32"
Tasa de intento de suicidio,Masculino,Total,2009,"2,00","2.053,00","97,42"
Tasa de intento de suicidio,Masculino,Total,2010,"1,00","2.001,00","49,98"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","1.952,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","1.903,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","1.858,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"1,00","1.814,00","55,13"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","1.767,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"3,00","1.729,00","173,51"
Tasa de intento de suicidio,Masculino,Total,2017,"2,00","1.677,00","119,26"
Tasa de intento de suicidio,Masculino,Total,2018,"1,00","1.633,00","61,24"
Tasa de intento de suicidio,Masculino,Total,2019,"2,00","2.453,00","81,53"
Tasa de intento de suicidio,Masculino,Total,2020,"0,00","2.458,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2021,"0,00","2.501,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2022,"1,00","2.567,00","38,96"
Tasa de intento de suicidio,Masculino,Total,2023,"1,00","2.600,00","38,46"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","315,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","304,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","294,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","284,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","273,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","263,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","253,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","244,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","234,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","223,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","342,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","337,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","338,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","332,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","320,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","320,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","304,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","291,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","280,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","270,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","261,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","252,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","244,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","238,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","230,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","350,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","349,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","348,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","354,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","352,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","376,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","346,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"0,00","318,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"0,00","295,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"0,00","273,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"0,00","255,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"0,00","240,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"1,00","231,00","432,90"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"1,00","225,00","444,44"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"0,00","218,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"0,00","361,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"1,00","354,00","282,49"
Tasa de intento de suicidio,Total,De 10 a 14 años,2021,"0,00","356,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2022,"0,00","351,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2023,"0,00","350,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2009,"0,00","390,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2010,"1,00","377,00","265,25"
Tasa de intento de suicidio,Total,De 15 a 19 años,2011,"0,00","356,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2012,"0,00","334,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2013,"0,00","309,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2014,"0,00","284,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2015,"0,00","264,00","0,00"
