Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"1,00","21.206,00","4,72"
Tasa de intento de suicidio,Femenino,Total,2010,"2,00","21.474,00","9,31"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","21.765,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"2,00","22.056,00","9,07"
Tasa de intento de suicidio,Femenino,Total,2013,"4,00","22.352,00","17,90"
Tasa de intento de suicidio,Femenino,Total,2014,"2,00","22.646,00","8,83"
Tasa de intento de suicidio,Femenino,Total,2015,"3,00","22.944,00","13,08"
Tasa de intento de suicidio,Femenino,Total,2016,"25,00","23.229,00","107,62"
Tasa de intento de suicidio,Femenino,Total,2017,"42,00","23.518,00","178,59"
Tasa de intento de suicidio,Femenino,Total,2018,"40,00","23.807,00","168,02"
Tasa de intento de suicidio,Femenino,Total,2019,"34,00","30.934,00","109,91"
Tasa de intento de suicidio,Femenino,Total,2020,"25,00","31.677,00","78,92"
Tasa de intento de suicidio,Femenino,Total,2021,"22,00","32.185,00","68,35"
Tasa de intento de suicidio,Femenino,Total,2022,"34,00","32.062,00","106,04"
Tasa de intento de suicidio,Femenino,Total,2023,"40,00","32.379,00","123,54"
Tasa de intento de suicidio,Masculino,Total,2009,"1,00","22.031,00","4,54"
Tasa de intento de suicidio,Masculino,Total,2010,"1,00","22.351,00","4,47"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","22.638,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"1,00","22.936,00","4,36"
Tasa de intento de suicidio,Masculino,Total,2013,"2,00","23.226,00","8,61"
Tasa de intento de suicidio,Masculino,Total,2014,"1,00","23.520,00","4,25"
Tasa de intento de suicidio,Masculino,Total,2015,"2,00","23.807,00","8,40"
Tasa de intento de suicidio,Masculino,Total,2016,"10,00","24.111,00","41,47"
Tasa de intento de suicidio,Masculino,Total,2017,"25,00","24.397,00","102,47"
Tasa de intento de suicidio,Masculino,Total,2018,"23,00","24.691,00","93,15"
Tasa de intento de suicidio,Masculino,Total,2019,"19,00","30.188,00","62,94"
Tasa de intento de suicidio,Masculino,Total,2020,"15,00","30.904,00","48,54"
Tasa de intento de suicidio,Masculino,Total,2021,"17,00","31.379,00","54,18"
Tasa de intento de suicidio,Masculino,Total,2022,"20,00","31.121,00","64,27"
Tasa de intento de suicidio,Masculino,Total,2023,"26,00","31.382,00","82,85"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","4.656,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","4.614,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","4.654,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","4.698,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","4.742,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","4.783,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","4.817,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","4.850,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","4.873,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","4.883,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","4.979,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","5.045,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","5.035,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","4.764,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","4.668,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","4.554,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","4.635,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","4.646,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","4.665,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","4.675,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","4.666,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","4.625,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","4.680,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"1,00","4.731,00","21,14"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","4.780,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","4.770,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","4.839,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"1,00","4.865,00","20,56"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","4.762,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","4.759,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","4.730,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"1,00","4.615,00","21,67"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"0,00","4.527,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"0,00","4.471,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"1,00","4.451,00","22,47"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"0,00","4.478,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"0,00","4.562,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"4,00","4.599,00","86,98"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"8,00","4.643,00","172,30"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"5,00","4.678,00","106,88"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"7,00","4.692,00","149,19"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"3,00","4.731,00","63,41"
Tasa de intento de suicidio,Total,De 10 a 14 años,2021,"2,00","4.739,00","42,20"
Tasa de intento de suicidio,Total,De 10 a 14 años,2022,"8,00","4.567,00","175,17"
Tasa de intento de suicidio,Total,De 10 a 14 años,2023,"6,00","4.555,00","131,72"
Tasa de intento de suicidio,Total,De 15 a 19 años,2009,"1,00","5.013,00","19,95"
Tasa de intento de suicidio,Total,De 15 a 19 años,2010,"0,00","5.027,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2011,"1,00","4.987,00","20,05"
Tasa de intento de suicidio,Total,De 15 a 19 años,2012,"0,00","4.885,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2013,"0,00","4.752,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2014,"2,00","4.618,00","43,31"
Tasa de intento de suicidio,Total,De 15 a 19 años,2015,"2,00","4.507,00","44,38"
Tasa de intento de suicidio,Total,De 15 a 19 años,2016,"12,00","4.419,00","271,55"
Tasa de intento de suicidio,Total,De 15 a 19 años,2017,"24,00","4.371,00","549,07"
Tasa de intento de suicidio,Total,De 15 a 19 años,2018,"21,00","4.378,00","479,67"
Tasa de intento de suicidio,Total,De 15 a 19 años,2019,"14,00","4.997,00","280,17"
Tasa de intento de suicidio,Total,De 15 a 19 años,2020,"6,00","5.005,00","119,88"
Tasa de intento de suicidio,Total,De 15 a 19 años,2021,"10,00","4.980,00","200,80"
Tasa de intento de suicidio,Total,De 15 a 19 años,2022,"17,00","4.716,00","360,48"
Tasa de intento de suicidio,Total,De 15 a 19 años,2023,"21,00","4.665,00","450,16"
Tasa de intento de suicidio,Total,De 20 a 24 años,2009,"0,00","4.188,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2010,"0,00","4.352,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2011,"0,00","4.507,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2012,"1,00","4.654,00","21,49"
Tasa de intento de suicidio,Total,De 20 a 24 años,2013,"0,00","4.777,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2014,"0,00","4.851,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2015,"1,00","4.864,00","20,56"
Tasa de intento de suicidio,Total,De 20 a 24 años,2016,"7,00","4.817,00","145,32"
Tasa de intento de suicidio,Total,De 20 a 24 años,2017,"9,00","4.716,00","190,84"
Tasa de intento de suicidio,Total,De 20 a 24 años,2018,"11,00","4.587,00","239,81"
Tasa de intento de suicidio,Total,De 20 a 24 años,2019,"13,00","5.423,00","239,72"
Tasa de intento de suicidio,Total,De 20 a 24 años,2020,"16,00","5.473,00","292,34"
Tasa de intento de suicidio,Total,De 20 a 24 años,2021,"8,00","5.457,00","146,60"
Tasa de intento de suicidio,Total,De 20 a 24 años,2022,"14,00","5.283,00","265,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2023,"12,00","5.193,00","231,08"
Tasa de intento de suicidio,Total,De 25 a 29 años,2009,"0,00","3.365,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2010,"2,00","3.444,00","58,07"
Tasa de intento de suicidio,Total,De 25 a 29 años,2011,"0,00","3.555,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2012,"1,00","3.704,00","27,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2013,"1,00","3.870,00","25,84"
Tasa de intento de suicidio,Total,De 25 a 29 años,2014,"0,00","4.040,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2015,"0,00","4.196,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2016,"4,00","4.339,00","92,19"
Tasa de intento de suicidio,Total,De 25 a 29 años,2017,"6,00","4.473,00","134,14"
Tasa de intento de suicidio,Total,De 25 a 29 años,2018,"7,00","4.584,00","152,71"
Tasa de intento de suicidio,Total,De 25 a 29 años,2019,"3,00","5.308,00","56,52"
Tasa de intento de suicidio,Total,De 25 a 29 años,2020,"6,00","5.438,00","110,33"
Tasa de intento de suicidio,Total,De 25 a 29 años,2021,"6,00","5.508,00","108,93"
Tasa de intento de suicidio,Total,De 25 a 29 años,2022,"1,00","5.607,00","17,83"
Tasa de intento de suicidio,Total,De 25 a 29 años,2023,"12,00","5.630,00","213,14"
Tasa de intento de suicidio,Total,De 30 a 34 años,2009,"0,00","3.069,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2010,"0,00","3.123,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2011,"0,00","3.160,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2012,"1,00","3.178,00","31,47"
Tasa de intento de suicidio,Total,De 30 a 34 años,2013,"2,00","3.194,00","62,62"
