Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","8.738,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","8.840,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","8.934,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"1,00","9.045,00","11,06"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","9.147,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"2,00","9.244,00","21,64"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","9.335,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"18,00","9.436,00","190,76"
Tasa de intento de suicidio,Femenino,Total,2017,"15,00","9.531,00","157,38"
Tasa de intento de suicidio,Femenino,Total,2018,"6,00","9.624,00","62,34"
Tasa de intento de suicidio,Femenino,Total,2019,"12,00","12.354,00","97,13"
Tasa de intento de suicidio,Femenino,Total,2020,"10,00","12.659,00","79,00"
Tasa de intento de suicidio,Femenino,Total,2021,"10,00","12.872,00","77,69"
Tasa de intento de suicidio,Femenino,Total,2022,"13,00","12.833,00","101,30"
Tasa de intento de suicidio,Femenino,Total,2023,"11,00","12.962,00","84,86"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","9.120,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","9.241,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"1,00","9.347,00","10,70"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","9.457,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"1,00","9.565,00","10,45"
Tasa de intento de suicidio,Masculino,Total,2014,"2,00","9.672,00","20,68"
Tasa de intento de suicidio,Masculino,Total,2015,"1,00","9.773,00","10,23"
Tasa de intento de suicidio,Masculino,Total,2016,"8,00","9.874,00","81,02"
Tasa de intento de suicidio,Masculino,Total,2017,"8,00","9.976,00","80,19"
Tasa de intento de suicidio,Masculino,Total,2018,"2,00","10.078,00","19,85"
Tasa de intento de suicidio,Masculino,Total,2019,"9,00","11.831,00","76,07"
Tasa de intento de suicidio,Masculino,Total,2020,"4,00","12.098,00","33,06"
Tasa de intento de suicidio,Masculino,Total,2021,"6,00","12.274,00","48,88"
Tasa de intento de suicidio,Masculino,Total,2022,"4,00","12.184,00","32,83"
Tasa de intento de suicidio,Masculino,Total,2023,"3,00","12.265,00","24,46"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","1.706,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","1.669,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","1.664,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","1.663,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","1.662,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","1.663,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","1.665,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","1.667,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","1.665,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","1.662,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","1.506,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","1.520,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","1.512,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","1.427,00","0,00"
