Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","4.875,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","4.884,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","4.888,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","4.900,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","4.902,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"1,00","4.915,00","20,35"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","4.917,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"0,00","4.917,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2017,"4,00","4.926,00","81,20"
Tasa de intento de suicidio,Femenino,Total,2018,"1,00","4.934,00","20,27"
Tasa de intento de suicidio,Femenino,Total,2019,"5,00","4.963,00","100,75"
Tasa de intento de suicidio,Femenino,Total,2020,"3,00","4.901,00","61,21"
Tasa de intento de suicidio,Femenino,Total,2021,"1,00","4.982,00","20,07"
Tasa de intento de suicidio,Femenino,Total,2022,"5,00","5.328,00","93,84"
Tasa de intento de suicidio,Femenino,Total,2023,"8,00","5.401,00","148,12"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","4.943,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"1,00","4.940,00","20,24"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","4.936,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","4.938,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"0,00","4.936,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","4.940,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","4.942,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"1,00","4.949,00","20,21"
Tasa de intento de suicidio,Masculino,Total,2017,"0,00","4.947,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2018,"2,00","4.947,00","40,43"
Tasa de intento de suicidio,Masculino,Total,2019,"5,00","4.907,00","101,90"
Tasa de intento de suicidio,Masculino,Total,2020,"2,00","4.863,00","41,13"
Tasa de intento de suicidio,Masculino,Total,2021,"3,00","4.933,00","60,81"
Tasa de intento de suicidio,Masculino,Total,2022,"3,00","5.259,00","57,05"
Tasa de intento de suicidio,Masculino,Total,2023,"2,00","5.299,00","37,74"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","896,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","902,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","901,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","900,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","903,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","905,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","907,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","911,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","913,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","914,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","1.002,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","985,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","985,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","1.008,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","988,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","922,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","891,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","870,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","857,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","850,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","849,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","855,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","855,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","855,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","858,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","944,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","924,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","932,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","982,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","990,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","972,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","952,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"0,00","933,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"0,00","910,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"0,00","888,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"0,00","862,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"0,00","835,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"0,00","821,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"0,00","812,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"0,00","810,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"1,00","867,00","115,34"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"0,00","846,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2021,"0,00","848,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2022,"2,00","880,00","227,27"
Tasa de intento de suicidio,Total,De 10 a 14 años,2023,"0,00","880,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2009,"0,00","972,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2010,"1,00","963,00","103,84"
Tasa de intento de suicidio,Total,De 15 a 19 años,2011,"0,00","952,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2012,"0,00","940,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2013,"0,00","925,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2014,"1,00","907,00","110,25"
Tasa de intento de suicidio,Total,De 15 a 19 años,2015,"0,00","890,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2016,"0,00","870,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2017,"1,00","850,00","117,65"
Tasa de intento de suicidio,Total,De 15 a 19 años,2018,"1,00","835,00","119,76"
Tasa de intento de suicidio,Total,De 15 a 19 años,2019,"2,00","807,00","247,83"
Tasa de intento de suicidio,Total,De 15 a 19 años,2020,"2,00","783,00","255,43"
Tasa de intento de suicidio,Total,De 15 a 19 años,2021,"2,00","780,00","256,41"
Tasa de intento de suicidio,Total,De 15 a 19 años,2022,"5,00","794,00","629,72"
Tasa de intento de suicidio,Total,De 15 a 19 años,2023,"5,00","787,00","635,32"
Tasa de intento de suicidio,Total,De 20 a 24 años,2009,"0,00","856,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2010,"0,00","888,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2011,"0,00","906,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2012,"0,00","913,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2013,"0,00","907,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2014,"0,00","902,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2015,"0,00","893,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2016,"0,00","883,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2017,"1,00","872,00","114,68"
Tasa de intento de suicidio,Total,De 20 a 24 años,2018,"0,00","856,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2019,"3,00","729,00","411,52"
Tasa de intento de suicidio,Total,De 20 a 24 años,2020,"0,00","710,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2021,"0,00","709,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2022,"1,00","739,00","135,32"
Tasa de intento de suicidio,Total,De 20 a 24 años,2023,"2,00","728,00","274,73"
Tasa de intento de suicidio,Total,De 25 a 29 años,2009,"0,00","626,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2010,"0,00","643,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2011,"0,00","673,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2012,"0,00","714,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2013,"0,00","759,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2014,"0,00","799,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2015,"0,00","825,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2016,"0,00","841,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2017,"1,00","846,00","118,20"
Tasa de intento de suicidio,Total,De 25 a 29 años,2018,"1,00","842,00","118,76"
Tasa de intento de suicidio,Total,De 25 a 29 años,2019,"1,00","653,00","153,14"
Tasa de intento de suicidio,Total,De 25 a 29 años,2020,"0,00","645,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2021,"0,00","652,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2022,"0,00","719,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2023,"0,00","719,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2009,"0,00","578,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2010,"0,00","585,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2011,"0,00","586,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2012,"0,00","585,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2013,"0,00","579,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2014,"0,00","588,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2015,"0,00","604,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2016,"0,00","631,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2017,"0,00","670,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2018,"1,00","711,00","140,65"
Tasa de intento de suicidio,Total,De 30 a 34 años,2019,"0,00","594,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2020,"0,00","591,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2021,"0,00","605,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2022,"0,00","680,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2023,"0,00","695,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2009,"0,00","530,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2010,"0,00","521,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2011,"0,00","519,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2012,"0,00","527,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2013,"0,00","537,00","0,00"
