Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"2,00","21.278,00","9,40"
Tasa de intento de suicidio,Femenino,Total,2010,"1,00","21.694,00","4,61"
Tasa de intento de suicidio,Femenino,Total,2011,"3,00","22.114,00","13,57"
Tasa de intento de suicidio,Femenino,Total,2012,"2,00","22.546,00","8,87"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","22.974,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","23.406,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"1,00","23.840,00","4,19"
Tasa de intento de suicidio,Femenino,Total,2016,"9,00","24.272,00","37,08"
Tasa de intento de suicidio,Femenino,Total,2017,"29,00","24.718,00","117,32"
Tasa de intento de suicidio,Femenino,Total,2018,"38,00","25.156,00","151,06"
Tasa de intento de suicidio,Femenino,Total,2019,"28,00","28.629,00","97,80"
Tasa de intento de suicidio,Femenino,Total,2020,"34,00","29.312,00","115,99"
Tasa de intento de suicidio,Femenino,Total,2021,"33,00","29.788,00","110,78"
Tasa de intento de suicidio,Femenino,Total,2022,"35,00","29.672,00","117,96"
Tasa de intento de suicidio,Femenino,Total,2023,"31,00","29.953,00","103,50"
Tasa de intento de suicidio,Masculino,Total,2009,"3,00","21.481,00","13,97"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","21.882,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","22.293,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"1,00","22.707,00","4,40"
Tasa de intento de suicidio,Masculino,Total,2013,"2,00","23.122,00","8,65"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","23.545,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","23.957,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"7,00","24.387,00","28,70"
Tasa de intento de suicidio,Masculino,Total,2017,"19,00","24.815,00","76,57"
Tasa de intento de suicidio,Masculino,Total,2018,"18,00","25.245,00","71,30"
Tasa de intento de suicidio,Masculino,Total,2019,"10,00","28.145,00","35,53"
Tasa de intento de suicidio,Masculino,Total,2020,"17,00","28.847,00","58,93"
Tasa de intento de suicidio,Masculino,Total,2021,"15,00","29.285,00","51,22"
Tasa de intento de suicidio,Masculino,Total,2022,"22,00","29.043,00","75,75"
Tasa de intento de suicidio,Masculino,Total,2023,"24,00","29.273,00","81,99"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","4.374,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","4.338,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","4.379,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","4.426,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","4.476,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","4.528,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","4.575,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","4.625,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","4.670,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","4.702,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","3.827,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","3.878,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","3.864,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","3.653,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","3.573,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","4.243,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","4.359,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","4.403,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","4.443,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","4.466,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","4.470,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","4.433,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","4.487,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","4.547,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","4.600,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","3.646,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","3.713,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","3.742,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","3.615,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","3.611,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","4.269,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","4.221,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"1,00","4.196,00","23,83"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"1,00","4.199,00","23,82"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"0,00","4.233,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"0,00","4.306,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"0,00","4.426,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"1,00","4.499,00","22,23"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"3,00","4.566,00","65,70"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"7,00","4.615,00","151,68"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"5,00","3.670,00","136,24"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"6,00","3.721,00","161,25"
Tasa de intento de suicidio,Total,De 10 a 14 años,2021,"4,00","3.745,00","106,81"
Tasa de intento de suicidio,Total,De 10 a 14 años,2022,"3,00","3.538,00","84,79"
Tasa de intento de suicidio,Total,De 10 a 14 años,2023,"4,00","3.526,00","113,44"
Tasa de intento de suicidio,Total,De 15 a 19 años,2009,"1,00","4.470,00","22,37"
Tasa de intento de suicidio,Total,De 15 a 19 años,2010,"0,00","4.519,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2011,"0,00","4.526,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2012,"0,00","4.484,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2013,"0,00","4.413,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2014,"0,00","4.344,00","0,00"
Tasa de intento de suicidio,Total,De 15 a 19 años,2015,"1,00","4.296,00","23,28"
Tasa de intento de suicidio,Total,De 15 a 19 años,2016,"5,00","4.267,00","117,18"
Tasa de intento de suicidio,Total,De 15 a 19 años,2017,"12,00","4.279,00","280,44"
Tasa de intento de suicidio,Total,De 15 a 19 años,2018,"15,00","4.338,00","345,78"
Tasa de intento de suicidio,Total,De 15 a 19 años,2019,"17,00","4.146,00","410,03"
Tasa de intento de suicidio,Total,De 15 a 19 años,2020,"16,00","4.176,00","383,14"
Tasa de intento de suicidio,Total,De 15 a 19 años,2021,"21,00","4.174,00","503,11"
Tasa de intento de suicidio,Total,De 15 a 19 años,2022,"16,00","3.868,00","413,65"
Tasa de intento de suicidio,Total,De 15 a 19 años,2023,"17,00","3.816,00","445,49"
Tasa de intento de suicidio,Total,De 20 a 24 años,2009,"2,00","3.925,00","50,96"
Tasa de intento de suicidio,Total,De 20 a 24 años,2010,"0,00","4.035,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2011,"1,00","4.159,00","24,04"
Tasa de intento de suicidio,Total,De 20 a 24 años,2012,"1,00","4.301,00","23,25"
Tasa de intento de suicidio,Total,De 20 a 24 años,2013,"1,00","4.437,00","22,54"
Tasa de intento de suicidio,Total,De 20 a 24 años,2014,"0,00","4.539,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2015,"0,00","4.589,00","0,00"
Tasa de intento de suicidio,Total,De 20 a 24 años,2016,"3,00","4.588,00","65,39"
Tasa de intento de suicidio,Total,De 20 a 24 años,2017,"9,00","4.541,00","198,19"
Tasa de intento de suicidio,Total,De 20 a 24 años,2018,"11,00","4.469,00","246,14"
Tasa de intento de suicidio,Total,De 20 a 24 años,2019,"5,00","4.801,00","104,15"
Tasa de intento de suicidio,Total,De 20 a 24 años,2020,"15,00","4.854,00","309,02"
Tasa de intento de suicidio,Total,De 20 a 24 años,2021,"11,00","4.862,00","226,24"
Tasa de intento de suicidio,Total,De 20 a 24 años,2022,"18,00","4.655,00","386,68"
Tasa de intento de suicidio,Total,De 20 a 24 años,2023,"10,00","4.559,00","219,35"
Tasa de intento de suicidio,Total,De 25 a 29 años,2009,"2,00","3.553,00","56,29"
Tasa de intento de suicidio,Total,De 25 a 29 años,2010,"0,00","3.622,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2011,"1,00","3.699,00","27,03"
Tasa de intento de suicidio,Total,De 25 a 29 años,2012,"0,00","3.782,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2013,"0,00","3.871,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2014,"0,00","3.972,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2015,"0,00","4.083,00","0,00"
Tasa de intento de suicidio,Total,De 25 a 29 años,2016,"3,00","4.202,00","71,39"
Tasa de intento de suicidio,Total,De 25 a 29 años,2017,"7,00","4.337,00","161,40"
Tasa de intento de suicidio,Total,De 25 a 29 años,2018,"9,00","4.469,00","201,39"
Tasa de intento de suicidio,Total,De 25 a 29 años,2019,"2,00","4.757,00","42,04"
Tasa de intento de suicidio,Total,De 25 a 29 años,2020,"5,00","4.844,00","103,22"
Tasa de intento de suicidio,Total,De 25 a 29 años,2021,"4,00","4.886,00","81,87"
Tasa de intento de suicidio,Total,De 25 a 29 años,2022,"6,00","5.026,00","119,38"
Tasa de intento de suicidio,Total,De 25 a 29 años,2023,"10,00","5.038,00","198,49"
Tasa de intento de suicidio,Total,De 30 a 34 años,2009,"0,00","3.258,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2010,"1,00","3.324,00","30,08"
Tasa de intento de suicidio,Total,De 30 a 34 años,2011,"0,00","3.385,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2012,"1,00","3.447,00","29,01"
Tasa de intento de suicidio,Total,De 30 a 34 años,2013,"1,00","3.504,00","28,54"
Tasa de intento de suicidio,Total,De 30 a 34 años,2014,"0,00","3.567,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2015,"0,00","3.640,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2016,"0,00","3.715,00","0,00"
Tasa de intento de suicidio,Total,De 30 a 34 años,2017,"6,00","3.795,00","158,10"
Tasa de intento de suicidio,Total,De 30 a 34 años,2018,"5,00","3.880,00","128,87"
Tasa de intento de suicidio,Total,De 30 a 34 años,2019,"5,00","4.345,00","115,07"
Tasa de intento de suicidio,Total,De 30 a 34 años,2020,"4,00","4.447,00","89,95"
Tasa de intento de suicidio,Total,De 30 a 34 años,2021,"3,00","4.529,00","66,24"
Tasa de intento de suicidio,Total,De 30 a 34 años,2022,"3,00","4.779,00","62,77"
Tasa de intento de suicidio,Total,De 30 a 34 años,2023,"4,00","4.877,00","82,02"
Tasa de intento de suicidio,Total,De 35 a 39 años,2009,"0,00","2.954,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2010,"1,00","3.008,00","33,24"
Tasa de intento de suicidio,Total,De 35 a 39 años,2011,"0,00","3.070,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2012,"0,00","3.137,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2013,"0,00","3.214,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2014,"0,00","3.281,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2015,"0,00","3.349,00","0,00"
Tasa de intento de suicidio,Total,De 35 a 39 años,2016,"1,00","3.406,00","29,36"
Tasa de intento de suicidio,Total,De 35 a 39 años,2017,"4,00","3.458,00","115,67"
