Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"0,00","2.834,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2010,"0,00","2.808,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2011,"0,00","2.779,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2012,"0,00","2.756,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2013,"0,00","2.724,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2014,"0,00","2.693,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2015,"0,00","2.667,00","0,00"
Tasa de intento de suicidio,Femenino,Total,2016,"2,00","2.641,00","75,73"
Tasa de intento de suicidio,Femenino,Total,2017,"3,00","2.614,00","114,77"
Tasa de intento de suicidio,Femenino,Total,2018,"2,00","2.579,00","77,55"
Tasa de intento de suicidio,Femenino,Total,2019,"7,00","4.363,00","160,44"
Tasa de intento de suicidio,Femenino,Total,2020,"2,00","4.451,00","44,93"
Tasa de intento de suicidio,Femenino,Total,2021,"4,00","4.525,00","88,40"
Tasa de intento de suicidio,Femenino,Total,2022,"8,00","4.551,00","175,79"
Tasa de intento de suicidio,Femenino,Total,2023,"14,00","4.591,00","304,94"
Tasa de intento de suicidio,Masculino,Total,2009,"0,00","2.789,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2010,"0,00","2.758,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2011,"0,00","2.728,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2012,"0,00","2.702,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2013,"1,00","2.670,00","37,45"
Tasa de intento de suicidio,Masculino,Total,2014,"0,00","2.645,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2015,"0,00","2.612,00","0,00"
Tasa de intento de suicidio,Masculino,Total,2016,"3,00","2.590,00","115,83"
Tasa de intento de suicidio,Masculino,Total,2017,"1,00","2.553,00","39,17"
Tasa de intento de suicidio,Masculino,Total,2018,"1,00","2.518,00","39,71"
Tasa de intento de suicidio,Masculino,Total,2019,"3,00","4.185,00","71,68"
Tasa de intento de suicidio,Masculino,Total,2020,"2,00","4.258,00","46,97"
Tasa de intento de suicidio,Masculino,Total,2021,"4,00","4.319,00","92,61"
Tasa de intento de suicidio,Masculino,Total,2022,"4,00","4.311,00","92,79"
Tasa de intento de suicidio,Masculino,Total,2023,"11,00","4.354,00","252,64"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","484,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","477,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","467,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","460,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","451,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2014,"0,00","442,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2015,"0,00","436,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2016,"0,00","430,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2017,"0,00","422,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2018,"0,00","412,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2019,"0,00","589,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2020,"0,00","597,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2021,"0,00","597,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2022,"0,00","570,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2023,"0,00","559,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2009,"0,00","503,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2010,"0,00","486,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2011,"0,00","472,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2012,"0,00","462,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2013,"0,00","453,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2014,"0,00","444,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2015,"0,00","436,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2016,"0,00","431,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2017,"0,00","425,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2018,"0,00","415,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2019,"0,00","587,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2020,"0,00","591,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2021,"0,00","594,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2022,"0,00","588,00","0,00"
Tasa de intento de suicidio,Total,De 05 a 09 años,2023,"0,00","589,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2009,"0,00","535,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2010,"0,00","517,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2011,"0,00","500,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2012,"0,00","483,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2013,"0,00","467,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2014,"0,00","453,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2015,"0,00","437,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2016,"0,00","430,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2017,"1,00","421,00","237,53"
Tasa de intento de suicidio,Total,De 10 a 14 años,2018,"0,00","414,00","0,00"
Tasa de intento de suicidio,Total,De 10 a 14 años,2019,"3,00","595,00","504,20"
Tasa de intento de suicidio,Total,De 10 a 14 años,2020,"0,00","594,00","0,00"
