Indicador11,Sexo,Grupo_Etareo,año,Numerador2,Denominador1,Valor
Tasa de intento de suicidio,Femenino,Total,2009,"2,00","24.611,00","8,13"
Tasa de intento de suicidio,Femenino,Total,2010,"7,00","24.921,00","28,09"
Tasa de intento de suicidio,Femenino,Total,2011,"15,00","25.230,00","59,45"
Tasa de intento de suicidio,Femenino,Total,2012,"11,00","25.541,00","43,07"
Tasa de intento de suicidio,Femenino,Total,2013,"8,00","25.850,00","30,95"
Tasa de intento de suicidio,Femenino,Total,2014,"2,00","26.164,00","7,64"
Tasa de intento de suicidio,Femenino,Total,2015,"2,00","26.464,00","7,56"
Tasa de intento de suicidio,Femenino,Total,2016,"20,00","26.768,00","74,72"
Tasa de intento de suicidio,Femenino,Total,2017,"53,00","27.074,00","195,76"
Tasa de intento de suicidio,Femenino,Total,2018,"23,00","27.375,00","84,02"
Tasa de intento de suicidio,Femenino,Total,2019,"38,00","34.379,00","110,53"
Tasa de intento de suicidio,Femenino,Total,2020,"31,00","35.232,00","87,99"
Tasa de intento de suicidio,Femenino,Total,2021,"43,00","35.811,00","120,07"
Tasa de intento de suicidio,Femenino,Total,2022,"57,00","35.805,00","159,20"
Tasa de intento de suicidio,Femenino,Total,2023,"43,00","36.169,00","118,89"
Tasa de intento de suicidio,Masculino,Total,2009,"6,00","24.268,00","24,72"
Tasa de intento de suicidio,Masculino,Total,2010,"4,00","24.602,00","16,26"
Tasa de intento de suicidio,Masculino,Total,2011,"4,00","24.923,00","16,05"
Tasa de intento de suicidio,Masculino,Total,2012,"3,00","25.264,00","11,87"
Tasa de intento de suicidio,Masculino,Total,2013,"8,00","25.595,00","31,26"
Tasa de intento de suicidio,Masculino,Total,2014,"2,00","25.925,00","7,71"
Tasa de intento de suicidio,Masculino,Total,2015,"3,00","26.259,00","11,42"
Tasa de intento de suicidio,Masculino,Total,2016,"11,00","26.593,00","41,36"
Tasa de intento de suicidio,Masculino,Total,2017,"22,00","26.919,00","81,73"
Tasa de intento de suicidio,Masculino,Total,2018,"25,00","27.240,00","91,78"
Tasa de intento de suicidio,Masculino,Total,2019,"18,00","32.367,00","55,61"
Tasa de intento de suicidio,Masculino,Total,2020,"23,00","33.093,00","69,50"
Tasa de intento de suicidio,Masculino,Total,2021,"28,00","33.588,00","83,36"
Tasa de intento de suicidio,Masculino,Total,2022,"30,00","33.397,00","89,83"
Tasa de intento de suicidio,Masculino,Total,2023,"39,00","33.662,00","115,86"
Tasa de intento de suicidio,Total,De 0 a 04 años,2009,"0,00","4.473,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2010,"0,00","4.442,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2011,"0,00","4.447,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2012,"0,00","4.463,00","0,00"
Tasa de intento de suicidio,Total,De 0 a 04 años,2013,"0,00","4.485,00","0,00"
